cds,rtype,sname,dname,cname,Enroll12,NumTstTakr,AvgScrEng,AvgScrRead,AvgScrMath,AvgScrSci,NumGE21,PctGE21,year
11101160130807,S,Conservation Corps of Long Beach Gateway Cities Ch,Glenn County Office of Education                  ,Glenn          ,83,0,NA,NA,NA,NA,NA,NA,1415
11626460000000,D,                                                  ,Princeton Joint Unified                           ,Glenn          ,19,6,*,*,*,*,*,*,1415
11626461136209,S,Princeton Junior-Senior High                      ,Princeton Joint Unified                           ,Glenn          ,19,6,*,*,*,*,*,*,1415
11626610000000,D,                                                  ,Willows Unified                                   ,Glenn          ,111,9,*,*,*,*,*,*,1415
11626611132851,S,Willows High                                      ,Willows Unified                                   ,Glenn          ,99,9,*,*,*,*,*,*,1415
11754810000000,D,                                                  ,Orland Joint Unified                              ,Glenn          ,182,10,*,*,*,*,*,*,1415
11754811135656,S,Orland High                                       ,Orland Joint Unified                              ,Glenn          ,173,10,*,*,*,*,*,*,1415
11765620000000,D,                                                  ,Hamilton Unified                                  ,Glenn          ,68,31,19,20,19,20,11,35.48,1415
11765621133701,S,Hamilton High                                     ,Hamilton Unified                                  ,Glenn          ,61,31,19,20,19,20,11,35.48,1415
12000000000000,C,                                                  ,                                                  ,Humboldt       ,1354,139,25,26,24,24,119,85.61,1415
12101240000000,D,                                                  ,Humboldt County Office of Education               ,Humboldt       ,70,8,*,*,*,*,*,*,1415
12101240115097,S,Northcoast Preparatory and Performing Arts Academy,Humboldt County Office of Education               ,Humboldt       ,36,8,*,*,*,*,*,*,1415
12626870000000,D,                                                  ,Northern Humboldt Union High                      ,Humboldt       ,419,66,26,26,25,24,60,90.91,1415
12626870107110,S,Six Rivers Charter High                           ,Northern Humboldt Union High                      ,Humboldt       ,27,2,*,*,*,*,*,*,1415
12626871230705,S,Arcata High                                       ,Northern Humboldt Union High                      ,Humboldt       ,206,56,26,27,25,25,52,92.86,1415
12626871235209,S,McKinleyville High                                ,Northern Humboldt Union High                      ,Humboldt       ,126,8,*,*,*,*,*,*,1415
12628100000000,D,                                                  ,Fortuna Union High                                ,Humboldt       ,254,7,*,*,*,*,*,*,1415
12628100108688,S,Academy of the Redwoods                           ,Fortuna Union High                                ,Humboldt       ,39,3,*,*,*,*,*,*,1415
12628101233402,S,Fortuna Union High                                ,Fortuna Union High                                ,Humboldt       ,170,4,*,*,*,*,*,*,1415
12629010000000,D,                                                  ,Klamath-Trinity Joint Unified                     ,Humboldt       ,63,2,*,*,*,*,*,*,1415
12629011234004,S,Hoopa Valley High                                 ,Klamath-Trinity Joint Unified                     ,Humboldt       ,47,2,*,*,*,*,*,*,1415
12629270000000,D,                                                  ,Loleta Union Elementary                           ,Humboldt       ,22,0,NA,NA,NA,NA,NA,NA,1415
12629271230150,S,Pacific View Charter                              ,Loleta Union Elementary                           ,Humboldt       ,22,0,NA,NA,NA,NA,NA,NA,1415
12630320000000,D,                                                  ,South Bay Union Elementary                        ,Humboldt       ,36,1,*,*,*,*,*,*,1415
12630320111203,S,Alder Grove Charter                               ,South Bay Union Elementary                        ,Humboldt       ,36,1,*,*,*,*,*,*,1415
12630400000000,D,                                                  ,Southern Humboldt Joint Unified                   ,Humboldt       ,47,3,*,*,*,*,*,*,1415
12630401237007,S,South Fork Junior - Senior High                   ,Southern Humboldt Joint Unified                   ,Humboldt       ,46,3,*,*,*,*,*,*,1415
12753740000000,D,                                                  ,Ferndale Unified                                  ,Humboldt       ,29,3,*,*,*,*,*,*,1415
12753741232909,S,Ferndale High                                     ,Ferndale Unified                                  ,Humboldt       ,29,3,*,*,*,*,*,*,1415
12753820000000,D,                                                  ,Mattole Unified                                   ,Humboldt       ,93,1,*,*,*,*,*,*,1415
12753821230085,S,Mattole Triple Junction High                      ,Mattole Unified                                   ,Humboldt       ,2,1,*,*,*,*,*,*,1415
12753821230135,S,Mattole Valley Charter (#159),Mattole Unified                                   ,Humboldt       ,91,0,NA,NA,NA,NA,NA,NA,1415
12755150000000,D,                                                  ,Eureka City Schools                               ,Humboldt       ,321,48,23,24,24,24,38,79.17,1415
12755151232206,S,Eureka Senior High                                ,Eureka City Schools                               ,Humboldt       ,249,48,23,24,24,24,38,79.17,1415
16638910000000,D,                                                  ,Corcoran Joint Unified                            ,Kings          ,231,29,18,18,20,18,5,17.24,1415
16638911632207,S,Corcoran High                                     ,Corcoran Joint Unified                            ,Kings          ,192,29,18,18,20,18,5,17.24,1415
16639250000000,D,                                                  ,Hanford Joint Union High                          ,Kings          ,962,85,20,21,21,20,43,50.59,1415
16639250118919,S,Sierra Pacific High                               ,Hanford Joint Union High                          ,Kings          ,204,19,23,22,23,23,12,63.16,1415
16639251630169,S,Hanford West High                                 ,Hanford Joint Union High                          ,Kings          ,304,31,19,20,20,20,12,38.71,1415
16639251634401,S,Hanford High                                      ,Hanford Joint Union High                          ,Kings          ,340,35,20,22,20,19,19,54.29,1415
16639820000000,D,                                                  ,Lemoore Union High                                ,Kings          ,558,101,19,19,20,19,37,36.63,1415
16639820110205,S,Lemoore Middle College High                       ,Lemoore Union High                                ,Kings          ,62,3,*,*,*,*,*,*,1415
16639821635606,S,Lemoore High                                      ,Lemoore Union High                                ,Kings          ,448,98,18,19,20,19,34,34.69,1415
16739320000000,D,                                                  ,Reef-Sunset Unified                               ,Kings          ,140,77,12,15,16,15,3,3.9,1415
16739321630953,S,Avenal High                                       ,Reef-Sunset Unified                               ,Kings          ,125,77,12,15,16,15,3,3.9,1415
17000000000000,C,                                                  ,                                                  ,Lake           ,662,69,21,23,21,21,45,65.22,1415
17640140000000,D,                                                  ,Kelseyville Unified                               ,Lake           ,133,17,22,26,21,22,12,70.59,1415
17640141734359,S,Kelseyville High                                  ,Kelseyville Unified                               ,Lake           ,122,17,22,26,21,22,12,70.59,1415
17640220000000,D,                                                  ,Konocti Unified                                   ,Lake           ,177,23,18,20,20,19,11,47.83,1415
17640221735000,S,Lower Lake High                                   ,Konocti Unified                                   ,Lake           ,136,23,18,20,20,19,11,47.83,1415
17640300000000,D,                                                  ,Lakeport Unified                                  ,Lake           ,125,10,*,*,*,*,*,*,1415
17640301732304,S,Clear Lake High                                   ,Lakeport Unified                                  ,Lake           ,111,10,*,*,*,*,*,*,1415
17640550000000,D,                                                  ,Middletown Unified                                ,Lake           ,127,12,24,25,23,23,10,83.33,1415
17640551736008,S,Middletown High                                   ,Middletown Unified                                ,Lake           ,106,12,24,25,23,23,10,83.33,1415
17640710000000,D,                                                  ,Upper Lake Union High                             ,Lake           ,95,7,*,*,*,*,*,*,1415
17640711737006,S,Upper Lake High                                   ,Upper Lake Union High                             ,Lake           ,86,7,*,*,*,*,*,*,1415
18000000000000,C,                                                  ,                                                  ,Lassen         ,404,25,23,24,24,23,21,84,1415
18640890000000,D,                                                  ,Big Valley Joint Unified                          ,Lassen         ,17,0,NA,NA,NA,NA,NA,NA,1415
18640891831601,S,Big Valley Jr. Sr. High                           ,Big Valley Joint Unified                          ,Lassen         ,17,0,NA,NA,NA,NA,NA,NA,1415
18641390000000,D,                                                  ,Lassen Union High                                 ,Lassen         ,215,24,24,24,24,23,21,87.5,1415
18641391833805,S,Lassen High                                       ,Lassen Union High                                 ,Lassen         ,210,24,24,24,24,23,21,87.5,1415
18641620000000,D,                                                  ,Ravendale-Termo Elementary                        ,Lassen         ,58,0,NA,NA,NA,NA,NA,NA,1415
18641620120287,S,New Day Academy                                   ,Ravendale-Termo Elementary                        ,Lassen         ,18,0,NA,NA,NA,NA,NA,NA,1415
18641626010763,S,Long Valley Charter                               ,Ravendale-Termo Elementary                        ,Lassen         ,39,0,NA,NA,NA,NA,NA,NA,1415
18642040000000,D,                                                  ,Westwood Unified                                  ,Lassen         ,74,0,NA,NA,NA,NA,NA,NA,1415
18642041830132,S,Westwood Charter                                  ,Westwood Unified                                  ,Lassen         ,51,0,NA,NA,NA,NA,NA,NA,1415
18642041838507,S,Westwood High                                     ,Westwood Unified                                  ,Lassen         ,23,0,NA,NA,NA,NA,NA,NA,1415
18750360000000,D,                                                  ,Fort Sage Unified                                 ,Lassen         ,38,1,*,*,*,*,*,*,1415
18750360121657,S,Mt. Lassen Charter                                ,Fort Sage Unified                                 ,Lassen         ,17,0,NA,NA,NA,NA,NA,NA,1415
18750361833409,S,Herlong High                                      ,Fort Sage Unified                                 ,Lassen         ,21,1,*,*,*,*,*,*,1415
19000000000000,C,                                                  ,                                                  ,Los Angeles    ,123666,27473,20,21,21,20,12848,46.77,1415
19101990000000,D,                                                  ,Los Angeles County Office of Education            ,Los Angeles    ,1543,89,19,20,20,20,40,44.94,1415
19101990109926,S,Academia Avance Charter                           ,Los Angeles County Office of Education            ,Los Angeles    ,57,0,NA,NA,NA,NA,NA,NA,1415
19101990109942,S,Los Angeles International Charter High            ,Los Angeles County Office of Education            ,Los Angeles    ,61,59,16,17,18,18,16,27.12,1415
19101990127522,S,Optimist Charter                                  ,Los Angeles County Office of Education            ,Los Angeles    ,17,0,NA,NA,NA,NA,NA,NA,1415
19101991933399,S,L.A. County High School for the Arts              ,Los Angeles County Office of Education            ,Los Angeles    ,163,0,NA,NA,NA,NA,NA,NA,1415
19101991995257,S,Alternative Opportunity Programs                  ,Los Angeles County Office of Education            ,Los Angeles    ,127,0,NA,NA,NA,NA,NA,NA,1415
19101991995869,S,International Polytechnic High                    ,Los Angeles County Office of Education            ,Los Angeles    ,129,30,25,26,24,23,24,80,1415
19645681996131,S,Anderson W. Clark Magnet High                     ,Glendale Unified                                  ,Los Angeles    ,260,43,26,26,28,26,36,83.72,1415
19645760000000,D,                                                  ,Glendora Unified                                  ,Los Angeles    ,652,130,25,25,26,24,111,85.38,1415
19645761933597,S,Glendora High                                     ,Glendora Unified                                  ,Los Angeles    ,591,130,25,25,26,24,111,85.38,1415
19645840000000,D,                                                  ,Gorman Elementary                                 ,Los Angeles    ,174,10,*,*,*,*,*,*,1415
19645841996305,S,Gorman Learning Center                            ,Gorman Elementary                                 ,Los Angeles    ,174,10,*,*,*,*,*,*,1415
19645920000000,D,                                                  ,Hawthorne                                         ,Los Angeles    ,111,114,22,22,23,21,64,56.14,1415
19645920100354,S,Hawthorne Math and Science Academy                ,Hawthorne                                         ,Los Angeles    ,111,114,22,22,23,21,64,56.14,1415
19646340000000,D,                                                  ,Inglewood Unified                                 ,Los Angeles    ,830,263,15,17,17,17,38,14.45,1415
19646341934231,S,Inglewood High                                    ,Inglewood Unified                                 ,Los Angeles    ,266,101,15,16,17,17,10,9.9,1415
19646341934249,S,Inglewood Continuation High                       ,Inglewood Unified                                 ,Los Angeles    ,83,1,*,*,*,*,*,*,1415
19646341936046,S,Morningside High                                  ,Inglewood Unified                                 ,Los Angeles    ,232,84,15,16,17,16,12,14.29,1415
19646341996529,S,City Honors College Preparatory Academy           ,Inglewood Unified                                 ,Los Angeles    ,102,43,18,18,18,18,11,25.58,1415
19646341996586,S,Animo Inglewood Charter High                      ,Inglewood Unified                                 ,Los Angeles    ,129,34,15,17,19,17,5,14.71,1415
19646590000000,D,                                                  ,La Canada Unified                                 ,Los Angeles    ,362,175,28,28,28,27,165,94.29,1415
19646591934611,S,La Canada High                                    ,La Canada Unified                                 ,Los Angeles    ,358,175,28,28,28,27,165,94.29,1415
19646830000000,D,                                                  ,Las Virgenes Unified                              ,Los Angeles    ,1002,412,26,26,26,25,353,85.68,1415
19646831930080,S,Agoura High                                       ,Las Virgenes Unified                              ,Los Angeles    ,536,211,26,26,26,25,188,89.1,1415
19646831931781,S,Calabasas High                                    ,Las Virgenes Unified                              ,Los Angeles    ,455,201,26,26,25,24,165,82.09,1415
19646910000000,D,                                                  ,Lawndale Elementary                               ,Los Angeles    ,116,16,16,18,18,18,4,25,1415
19646911996438,S,Environmental Charter High                        ,Lawndale Elementary                               ,Los Angeles    ,116,16,16,18,18,18,4,25,1415
19647090000000,D,                                                  ,Lennox                                            ,Los Angeles    ,258,227,16,17,18,17,39,17.18,1415
19647090100602,S,"Lennox Mathematics, Science and Technology Academy",Lennox                                            ,Los Angeles    ,132,112,16,17,18,18,20,17.86,1415
19647091996313,S,Animo Leadership High                             ,Lennox                                            ,Los Angeles    ,126,115,16,17,19,17,19,16.52,1415
19647250000000,D,                                                  ,Long Beach Unified                                ,Los Angeles    ,6767,1410,20,21,21,21,694,49.22,1415
19647250125153,S,Beach High-Intensive Learning Program             ,Long Beach Unified                                ,Los Angeles    ,96,0,NA,NA,NA,NA,NA,NA,1415
19647251930411,S,Avalon K-12,Long Beach Unified                                ,Los Angeles    ,54,12,22,23,22,21,7,58.33,1415
19647251934470,S,Jordan High                                       ,Long Beach Unified                                ,Los Angeles    ,831,212,15,17,18,17,32,15.09,1415
19647251934678,S,Lakewood High                                     ,Long Beach Unified                                ,Los Angeles    ,873,144,21,22,22,21,86,59.72,1415
19647251935758,S,Millikan High                                     ,Long Beach Unified                                ,Los Angeles    ,898,263,19,21,20,20,116,44.11,1415
19647251936947,S,Polytechnic High                                  ,Long Beach Unified                                ,Los Angeles    ,1139,346,22,22,23,22,204,58.96,1415
19647251937176,S,Reid High                                         ,Long Beach Unified                                ,Los Angeles    ,203,1,*,*,*,*,*,*,1415
19647251939875,S,Wilson High                                       ,Long Beach Unified                                ,Los Angeles    ,925,201,22,22,23,22,131,65.17,1415
19647251995539,S,California Academy of Mathematics and Science     ,Long Beach Unified                                ,Los Angeles    ,161,100,27,27,27,25,88,88,1415
19647251995570,S,Educational Partnership High                      ,Long Beach Unified                                ,Los Angeles    ,785,0,NA,NA,NA,NA,NA,NA,1415
19647251995935,S,Cabrillo High                                     ,Long Beach Unified                                ,Los Angeles    ,610,107,16,17,18,18,22,20.56,1415
19647251996503,S,Renaissance High School for the Arts              ,Long Beach Unified                                ,Los Angeles    ,119,24,19,21,19,20,8,33.33,1415
19647330000000,D,                                                  ,Los Angeles Unified                               ,Los Angeles    ,43324,11467,18,19,19,18,3562,31.06,1415
19647330100677,S,High Tech LA                                      ,Los Angeles Unified                               ,Los Angeles    ,81,22,26,24,24,24,17,77.27,1415
19647330100750,S,Wallis Annenberg High                             ,Los Angeles Unified                               ,Los Angeles    ,85,0,NA,NA,NA,NA,NA,NA,1415
19647330100776,S,North Valley Military Institute College Preparator,Los Angeles Unified                               ,Los Angeles    ,11,2,*,*,*,*,*,*,1415
19647330100800,S,Central City Value                                ,Los Angeles Unified                               ,Los Angeles    ,104,29,17,18,17,18,7,24.14,1415
19647330101196,S,View Park Preparatory Accelerated High            ,Los Angeles Unified                               ,Los Angeles    ,152,49,15,16,16,16,5,10.2,1415
19647330101659,S,Crenshaw Arts-Technology Charter High             ,Los Angeles Unified                               ,Los Angeles    ,72,9,*,*,*,*,*,*,1415
1750930000000,D,                                                  ,Dublin Unified                                    ,Alameda        ,498,205,25,25,26,25,161,78.54,1415
1750930132704,S,Dublin High                                       ,Dublin Unified                                    ,Alameda        ,456,205,25,25,26,25,161,78.54,1415
1751010000000,D,                                                  ,Pleasanton Unified                                ,Alameda        ,1270,451,27,27,27,26,404,89.58,1415
1751010130096,S,Foothill High                                     ,Pleasanton Unified                                ,Alameda        ,522,181,27,27,27,26,163,90.06,1415
1751010130252,S,Village High                                      ,Pleasanton Unified                                ,Alameda        ,79,1,*,*,*,*,*,*,1415
1751010130583,S,Amador Valley High                                ,Pleasanton Unified                                ,Alameda        ,650,269,27,27,27,26,240,89.22,1415
1766530000000,D,                                                  ,SBE - Livermore Valley Charter Preparatory High   ,Alameda        ,107,39,25,25,24,24,28,71.79,1415
1766530120931,S,Livermore Valley Charter Preparatory High         ,SBE - Livermore Valley Charter Preparatory High   ,Alameda        ,107,39,25,25,24,24,28,71.79,1415
3000000000000,C,                                                  ,                                                  ,Amador         ,333,58,24,25,23,23,48,82.76,1415
