cds,rtype,sname,dname,cname,Enroll12,NumTstTakr,AvgScrEng,AvgScrRead,AvgScrMath,AvgScrSci,NumGE21,PctGE21,year
1612340130054,S,Newark Memorial High                              ,Newark Unified                                    ,Alameda        ,444,65,24,25,25,24,55,84.62,1415
1612340130484,S,Crossroads High (Alternative)                     ,Newark Unified                                    ,Alameda        ,15,0,NA,NA,NA,NA,NA,NA,1415
1612420000000,D,                                                  ,New Haven Unified                                 ,Alameda        ,1130,219,22,22,23,22,132,60.27,1415
1612420126763,S,Decoto School for Independent Study               ,New Haven Unified                                 ,Alameda        ,62,0,NA,NA,NA,NA,NA,NA,1415
1612420134668,S,James Logan High                                  ,New Haven Unified                                 ,Alameda        ,937,219,22,22,23,22,132,60.27,1415
1612590000000,D,                                                  ,Oakland Unified                                   ,Alameda        ,2971,870,18,19,20,19,295,33.91,1415
1612590100065,S,Oakland Unity High                                ,Oakland Unified                                   ,Alameda        ,55,45,13,15,17,16,4,8.89,1415
1612590100701,S,MetWest High                                      ,Oakland Unified                                   ,Alameda        ,38,4,*,*,*,*,*,*,1415
1612590106906,S,Bay Area Technology                               ,Oakland Unified                                   ,Alameda        ,25,2,*,*,*,*,*,*,1415
1612590108944,S,Lighthouse Community Charter High                 ,Oakland Unified                                   ,Alameda        ,53,0,NA,NA,NA,NA,NA,NA,1415
1612590110189,S,McClymonds High                                   ,Oakland Unified                                   ,Alameda        ,54,0,NA,NA,NA,NA,NA,NA,1415
1612590111856,S,American Indian Public High                       ,Oakland Unified                                   ,Alameda        ,27,27,24,23,27,24,21,77.78,1415
1612590112797,S,Coliseum College Prep Academy                     ,Oakland Unified                                   ,Alameda        ,51,11,15,17,17,17,0,0,1415
1612590114868,S,Oakland Charter High                              ,Oakland Unified                                   ,Alameda        ,55,50,22,22,25,22,35,70,1415
1612590115238,S,ARISE High                                        ,Oakland Unified                                   ,Alameda        ,36,16,15,16,16,16,1,6.25,1415
1612590115386,S,Civicorps Corpsmember Academy                     ,Oakland Unified                                   ,Alameda        ,80,0,NA,NA,NA,NA,NA,NA,1415
1612590115667,S,Oakland International High                        ,Oakland Unified                                   ,Alameda        ,90,3,*,*,*,*,*,*,1415
1612590118224,S,Aspire Golden State College Preparatory Academy   ,Oakland Unified                                   ,Alameda        ,59,34,13,15,16,15,2,5.88,1415
1612590119859,S,Gateway to College at Laney College               ,Oakland Unified                                   ,Alameda        ,57,0,NA,NA,NA,NA,NA,NA,1415
1612590125161,S,Castlemont High                                   ,Oakland Unified                                   ,Alameda        ,125,29,13,14,16,15,3,10.34,1415
1612590125716,S,Fremont High                                      ,Oakland Unified                                   ,Alameda        ,147,28,13,14,16,15,0,0,1415
1612590126748,S,LPS Oakland R & D Campus                          ,Oakland Unified                                   ,Alameda        ,58,44,12,14,15,15,1,2.27,1415
1612590130146,S,Rudsdale Continuation                             ,Oakland Unified                                   ,Alameda        ,91,1,*,*,*,*,*,*,1415
1612590130179,S,Street Academy (Alternative)                      ,Oakland Unified                                   ,Alameda        ,26,0,NA,NA,NA,NA,NA,NA,1415
1612590130575,S,LIFE Academy                                      ,Oakland Unified                                   ,Alameda        ,69,26,14,16,16,17,4,15.38,1415
1612590130617,S,"Oakland Military Institute, College Preparatory Ac",Oakland Unified                                   ,Alameda        ,74,41,16,17,18,17,8,19.51,1415
1612590130633,S,Lighthouse Community Charter                      ,Oakland Unified                                   ,Alameda        ,0,14,18,19,19,19,5,35.71,1415
1612590130666,S,Aspire Lionel Wilson College Preparatory Academy  ,Oakland Unified                                   ,Alameda        ,59,56,15,15,18,17,6,10.71,1415
1612590135905,S,Oakland High                                      ,Oakland Unified                                   ,Alameda        ,334,123,17,18,19,18,38,30.89,1415
1612590136051,S,Oakland Technical High                            ,Oakland Unified                                   ,Alameda        ,450,188,22,22,23,22,108,57.45,1415
1612590137943,S,Skyline High                                      ,Oakland Unified                                   ,Alameda        ,390,99,19,20,20,20,41,41.41,1415
1612593030772,S,Oakland School for the Arts                       ,Oakland Unified                                   ,Alameda        ,99,29,23,23,19,20,18,62.07,1415
1612596114011,S,"Independent Study, Sojourner Truth                ",Oakland Unified                                   ,Alameda        ,59,0,NA,NA,NA,NA,NA,NA,1415
1612750000000,D,                                                  ,Piedmont City Unified                             ,Alameda        ,229,99,27,27,26,27,86,86.87,1415
1612750130286,S,Millennium High Alternative                       ,Piedmont City Unified                             ,Alameda        ,31,13,21,22,19,21,6,46.15,1415
1612750136515,S,Piedmont High                                     ,Piedmont City Unified                             ,Alameda        ,198,86,28,28,28,27,80,93.02,1415
1612910000000,D,                                                  ,San Leandro Unified                               ,Alameda        ,752,199,19,20,20,20,80,40.2,1415
1612910137588,S,San Leandro High                                  ,San Leandro Unified                               ,Alameda        ,646,199,19,20,20,20,80,40.2,1415
1613090000000,D,                                                  ,San Lorenzo Unified                               ,Alameda        ,1068,175,19,20,21,20,72,41.14,1415
1613090111799,S,East Bay Arts High                                ,San Lorenzo Unified                               ,Alameda        ,65,4,*,*,*,*,*,*,1415
1613090114421,S,KIPP King Collegiate High                         ,San Lorenzo Unified                               ,Alameda        ,122,58,21,21,22,20,28,48.28,1415
1613090130849,S,Arroyo High                                       ,San Lorenzo Unified                               ,Alameda        ,415,25,25,25,25,24,19,76,1415
1613090137745,S,Royal Sunset (Continuation)                       ,San Lorenzo Unified                               ,Alameda        ,103,1,*,*,*,*,*,*,1415
1613090137810,S,San Lorenzo High                                  ,San Lorenzo Unified                               ,Alameda        ,357,87,16,18,20,18,25,28.74,1415
7616630000000,D,                                                  ,Byron Union Elementary                            ,Contra Costa   ,46,0,NA,NA,NA,NA,NA,NA,1415
7616630130930,S,Vista Oaks Charter                                ,Byron Union Elementary                            ,Contra Costa   ,46,0,NA,NA,NA,NA,NA,NA,1415
7616970000000,D,                                                  ,John Swett Unified                                ,Contra Costa   ,119,18,23,23,23,20,13,72.22,1415
7616970737023,S,John Swett High                                   ,John Swett Unified                                ,Contra Costa   ,93,18,23,23,23,20,13,72.22,1415
7617210000000,D,                                                  ,Liberty Union High                                ,Contra Costa   ,2106,469,22,23,22,22,281,59.91,1415
7617210107797,S,Heritage High                                     ,Liberty Union High                                ,Contra Costa   ,571,192,24,24,23,23,141,73.44,1415
7617210730457,S,Freedom High                                      ,Liberty Union High                                ,Contra Costa   ,594,119,20,22,20,21,56,47.06,1415
7617210730572,S,Independence High                                 ,Liberty Union High                                ,Contra Costa   ,212,0,NA,NA,NA,NA,NA,NA,1415
7617210733980,S,Liberty High                                      ,Liberty Union High                                ,Contra Costa   ,621,157,21,22,21,21,84,53.5,1415
7617210733998,S,La Paloma High (Continuation)                     ,Liberty Union High                                ,Contra Costa   ,100,1,*,*,*,*,*,*,1415
7617390000000,D,                                                  ,Martinez Unified                                  ,Contra Costa   ,341,68,24,24,25,24,49,72.06,1415
7617390730473,S,Briones (Alternative)                             ,Martinez Unified                                  ,Contra Costa   ,19,0,NA,NA,NA,NA,NA,NA,1415
7617390730549,S,Alhambra Senior High                              ,Martinez Unified                                  ,Contra Costa   ,271,68,24,24,25,24,49,72.06,1415
7617540000000,D,                                                  ,Mt. Diablo Unified                                ,Contra Costa   ,2236,464,25,25,25,24,367,79.09,1415
7617540730044,S,Northgate High                                    ,Mt. Diablo Unified                                ,Contra Costa   ,439,269,26,25,25,24,217,80.67,1415
7617540730317,S,Horizons Alternative                              ,Mt. Diablo Unified                                ,Contra Costa   ,55,2,*,*,*,*,*,*,1415
7617540731646,S,College Park High                                 ,Mt. Diablo Unified                                ,Contra Costa   ,460,130,26,26,26,24,108,83.08,1415
7617540731836,S,Concord High                                      ,Mt. Diablo Unified                                ,Contra Costa   ,343,29,23,25,24,23,23,79.31,1415
7617540734566,S,Mt. Diablo High                                   ,Mt. Diablo Unified                                ,Contra Costa   ,329,13,19,21,21,21,6,46.15,1415
7617540737809,S,Ygnacio Valley High                               ,Mt. Diablo Unified                                ,Contra Costa   ,267,21,24,24,23,22,12,57.14,1415
7617880000000,D,                                                  ,Pittsburg Unified                                 ,Contra Costa   ,719,131,18,19,19,19,44,33.59,1415
7617880735407,S,Pittsburg Senior High                             ,Pittsburg Unified                                 ,Contra Costa   ,580,131,18,19,19,19,44,33.59,1415
7617960000000,D,                                                  ,West Contra Costa Unified                         ,Contra Costa   ,2104,381,18,19,19,19,131,34.38,1415
7617960101477,S,Leadership Public Schools: Richmond               ,West Contra Costa Unified                         ,Contra Costa   ,112,74,15,15,17,17,8,10.81,1415
7617960730291,S,Middle College High                               ,West Contra Costa Unified                         ,Contra Costa   ,62,28,22,21,22,21,17,60.71,1415
7617960730325,S,Vista High (Alternative)                          ,West Contra Costa Unified                         ,Contra Costa   ,65,1,*,*,*,*,*,*,1415
7617960730598,S,Hercules High                                     ,West Contra Costa Unified                         ,Contra Costa   ,209,35,25,24,25,24,25,71.43,1415
7617960732164,S,De Anza Senior High                               ,West Contra Costa Unified                         ,Contra Costa   ,242,30,18,21,19,19,12,40,1415
7617960732941,S,El Cerrito Senior High                            ,West Contra Costa Unified                         ,Contra Costa   ,302,60,23,23,22,22,35,58.33,1415
7617960733659,S,Kennedy High                                      ,West Contra Costa Unified                         ,Contra Costa   ,172,20,17,17,17,18,4,20,1415
7617960735316,S,Pinole Valley High                                ,West Contra Costa Unified                         ,Contra Costa   ,296,42,20,20,21,20,21,50,1415
7617960735902,S,Richmond High                                     ,West Contra Costa Unified                         ,Contra Costa   ,335,91,14,16,16,16,8,8.79,1415
7618040000000,D,                                                  ,San Ramon Valley Unified                          ,Contra Costa   ,2441,1127,27,27,27,26,1023,90.77,1415
7618040113118,S,Dougherty Valley High                             ,San Ramon Valley Unified                          ,Contra Costa   ,608,255,28,28,29,27,237,92.94,1415
7618040730051,S,California High                                   ,San Ramon Valley Unified                          ,Contra Costa   ,630,236,26,27,27,26,208,88.14,1415
7618040730218,S,Venture (Alternative)                             ,San Ramon Valley Unified                          ,Contra Costa   ,88,9,*,*,*,*,*,*,1415
7618040734368,S,Monte Vista High                                  ,San Ramon Valley Unified                          ,Contra Costa   ,516,315,27,27,27,26,287,91.11,1415
7618040736504,S,San Ramon Valley High                             ,San Ramon Valley Unified                          ,Contra Costa   ,562,312,26,27,27,26,284,91.03,1415
8000000000000,C,                                                  ,                                                  ,Del Norte      ,400,11,23,24,25,23,9,81.82,1415
8100820000000,D,                                                  ,Del Norte County Office of Education              ,Del Norte      ,143,0,NA,NA,NA,NA,NA,NA,1415
8100820830059,S,Castle Rock                                       ,Del Norte County Office of Education              ,Del Norte      ,121,0,NA,NA,NA,NA,NA,NA,1415
8618200000000,D,                                                  ,Del Norte County Unified                          ,Del Norte      ,257,11,23,24,25,23,9,81.82,1415
8618200833004,S,Del Norte High                                    ,Del Norte County Unified                          ,Del Norte      ,215,10,*,*,*,*,*,*,1415
10754080000000,D,                                                  ,Riverdale Joint Unified                           ,Fresno         ,130,43,18,18,19,19,10,23.26,1415
10754081035575,S,Riverdale High                                    ,Riverdale Joint Unified                           ,Fresno         ,127,43,18,18,19,19,10,23.26,1415
10755980000000,D,                                                  ,Caruthers Unified                                 ,Fresno         ,150,14,16,18,18,17,3,21.43,1415
10755981030535,S,Caruthers High                                    ,Caruthers Unified                                 ,Fresno         ,143,14,16,18,18,17,3,21.43,1415
10767780000000,D,                                                  ,Washington Unified                                ,Fresno         ,387,14,15,16,17,16,1,7.14,1415
10767780122473,S,Elm High                                          ,Washington Unified                                ,Fresno         ,76,0,NA,NA,NA,NA,NA,NA,1415
10767781030774,S,W. E. B. DuBois Public Charter                    ,Washington Unified                                ,Fresno         ,87,0,NA,NA,NA,NA,NA,NA,1415
10767781038306,S,Washington High                                   ,Washington Unified                                ,Fresno         ,218,14,15,16,17,16,1,7.14,1415
11000000000000,C,                                                  ,                                                  ,Glenn          ,529,56,19,21,20,20,22,39.29,1415
11101160000000,D,                                                  ,Glenn County Office of Education                  ,Glenn          ,139,0,NA,NA,NA,NA,NA,NA,1415
11101160130724,S,Success One!                                      ,Glenn County Office of Education                  ,Glenn          ,35,0,NA,NA,NA,NA,NA,NA,1415
