,ActSat Number Participation,ApCourse Participation,ApCourse Passed,Asian,"Black, non-Hispanic",FreeAnd Reduced PriceLunch,Hispanic,Id,Multiracial,Native American or Native Alaskan,Native Hawaiian or Other Pacific Islander,Percent Teachers InFirst SecondYear,Plan504,Sname,"White, non-Hispanic",Year,index
0,1071,46.8,885,45.63,6.52,18.16,11.87,1,3.96,0.17,0.76,7.9,1.5,Alameda High School,31.08,2016,
1,25,0,885,70.29,4.0,30.29,8.57,14052,2.29,0.0,2.29,12.5,1.2,Alameda Science And Technology Institute,12.57,2016,
2,25,0,885,0.0,0.0,30.29,0.0,17140,100.0,0.0,0.0,12.5,1.2,"Applied Scholastics Academy, East Bay",0.0,2016,
3,178,0,885,35.63,17.51,40.34,16.69,6,6.66,0.3,1.42,1.8,2,Encinal Junior/Senior High,21.78,2016,
4,4,0,885,10.26,18.8,46.15,39.32,9,7.69,1.71,2.56,10,3.9,Island High (Continuation) School,19.66,2016,
5,207,35.4,517,30.33,4.88,17.02,16.61,19,10.41,0.25,0.33,13.6,5.3,Albany High School,37.19,2016,
6,0,35.4,517,6.25,31.25,56.25,43.75,22,12.5,0.0,0.0,0,8.5,Macgregor High (Continuation) School,6.25,2016,
7,0,35.4,517,4.16667,1.66667,56.25,5.83333,24472,5.83333,1.66667,0.0,0,8.5,Tilden Preparatory School,80.8333,2016,
8,0,35.4,517,2.98507,20.8955,56.25,14.9254,17417,8.95522,0.0,0.0,0,8.5,Bayhill High School,52.2388,2016,
9,867,33.4,1157,9.48,18.5,27.66,21.43,25,10.54,0.35,0.19,2.2,0.9,Berkeley High School,39.51,2016,
10,0,1.2,1157,3.13,64.06,75.0,21.88,12572,3.13,0.0,1.56,17.7,5.3,Berkeley Technology Academy,6.25,2016,
11,0,1.2,1157,20.6522,14.1304,75.0,5.43478,8815,3.26087,0.0,0.0,17.7,5.3,Maybeck High School,56.5217,2016,
12,0,21.9,7,1.64,21.86,73.22,64.48,25570,7.38,0.0,0.27,17.7,5.3,Realm Charter High School,4.37,2016,
13,232,30.8,779,40.65,4.97,9.06,15.49,56,7.74,0.13,0.44,9.3,5.1,Dublin High School,30.58,2016,
14,232,30.8,779,47.5894,3.7325,9.06,2.9549,10327,39.1913,0.311042,0.311042,9.3,5.1,The Quarry Lane School,5.9098,2016,
15,232,30.8,779,16.1238,7.49186,9.06,6.67752,11515,6.84039,0.0,3.25733,9.3,5.1,Valley Christian Middle School & High School,59.6091,2016,
16,2,30.8,779,12.5,25.0,23.21,32.14,60,3.57,0.0,0.0,0,14.9,Valley High (Continuation) School,26.79,2016,
17,443,46.3,1147,65.36,4.68,21.83,10.89,66,2.2,0.33,0.76,4.9,1.3,American High School,15.77,2016,
18,443,46.3,1147,59.1837,4.08163,21.83,4.08163,25835,0.0,0.0,0.0,4.9,1.3,Averroes High School,32.6531,2016,
19,0,46.3,1147,6.38,8.51,93.62,46.81,12629,4.26,0.0,2.13,100,0,California School For The Blind,31.91,2016,
20,29,0.6,1147,11.22,8.67,66.84,48.47,12297,4.34,0.26,0.26,16.5,0,California School For The Deaf-Fremont,26.79,2016,
21,13,1.9,1147,36.18,4.93,16.45,23.36,75,5.26,0.33,0.99,9.8,0,Circle of Independent Learning School,28.95,2016,
22,13,1.9,1147,66.2566,4.74517,16.45,5.44815,8603,12.1265,0.0,0.878735,9.8,0,Fremont Christian School,10.5448,2016,
23,759,38,1063,69.02,1.82,15.98,10.92,85,1.6,0.44,0.67,2.3,2.8,Irvington High School,15.53,2016,
24,246,21.6,152,33.98,5.07,43.04,33.19,86,2.0,0.43,1.43,5.1,1.4,John F. Kennedy High School,23.91,2016,
25,768,64,2232,91.78,0.48,4.06,1.59,94,0.48,0.0,0.1,4.9,2.1,Mission San Jose High School,5.56,2016,
26,0,64,2232,14.71,5.88,60.78,56.37,100,3.43,0.49,0.98,5.7,2.6,Robertson High (Continuation) School,18.14,2016,
27,0,64,2232,9.52381,38.0952,60.78,9.52381,24476,4.7619,0.0,4.7619,5.7,2.6,Seneca Center,33.3333,2016,
28,273,23.8,441,42.26,5.16,29.2,21.9,106,3.07,0.27,0.82,6.8,3.5,Washington High School,26.51,2016,
29,273,23.8,441,43.48,8.7,0.0,26.09,31094,0.0,0.0,0.0,6.8,3.5,Young Adult Program,21.74,2016,
30,0,23.8,441,7.51,32.81,86.56,48.22,13988,2.77,0.4,1.98,8.3,1.1,Alameda County Community,6.32,2016,
31,0,23.8,441,23.08,15.38,76.92,46.15,16834,0.0,0.0,0.0,0,0,Alternative Learning Academy At Conley-Caraballo High,15.38,2016,
32,45,23.8,441,3.11,15.03,79.27,64.25,109,2.07,0.52,3.63,16.7,0,Brenkwitz High School,11.4,2016,
33,36,5.8,441,6.25,19.27,68.75,51.56,17040,2.6,0.0,3.13,38.9,3.2,East Bay Arts High School,17.19,2016,
34,177,18.8,198,9.87,16.39,75.19,59.87,121,1.84,0.19,3.48,14.8,0.6,Hayward High School,8.35,2016,
35,177,18.8,198,0.0,37.5,87.5,12.5,32004,0.0,0.0,12.5,14.8,0.6,Highland,37.5,2016,
36,177,59.4,50,8.66,13.2,59.74,66.45,17502,3.9,0.22,2.81,14.8,0.6,Impact Academy of Arts and Technology,4.76,2016,
37,177,73.6,116,18.2,4.5,60.04,67.92,24625,4.5,0.0,2.81,14.8,0.6,Leadership Public Schools - Hayward,2.06,2016,
38,177,73.6,116,42.5263,8.21053,60.04,9.1579,8228,20.7368,0.421053,2.10526,14.8,0.6,Moreau Catholic High School,16.8421,2016,
39,176,10.3,112,27.33,9.56,69.24,51.82,127,1.44,0.3,3.53,14.3,0,Mount Eden High School,6.02,2016,
40,176,0,112,6.83,6.21,54.04,60.25,27149,9.94,1.24,0.62,14.3,0,Silver Oak High School - Public Montessori Charter,14.91,2016,
41,160,16.4,83,14.91,7.5,82.92,69.32,137,0.54,0.23,4.4,6.1,0.2,Tennyson High School,3.09,2016,
42,0,16.4,83,4.55,2.27,51.52,46.21,146,4.55,0.0,0.76,16.2,0,Del Valle Continuation High School,41.67,2016,
43,479,28.5,542,9.96,1.55,15.06,24.58,148,7.29,0.34,0.34,9.1,2.9,Granada High School,55.95,2016,
44,265,24.2,397,8.97,1.78,20.35,29.32,151,6.41,0.28,0.5,2.5,1.8,Livermore High School,52.73,2016,
45,6,2.7,397,4.49,0.0,21.35,31.46,10866,7.87,0.0,0.0,0,1.2,Vineyard Alternative School,56.18,2016,
46,0,2.7,397,7.89,7.89,60.53,68.42,173,1.32,0.0,2.63,0,2,Bridgepoint High (Continuation) School,11.84,2016,
47,0,22.2,315,23.49,5.09,42.11,49.58,180,3.17,0.4,1.87,1.3,0.8,Newark Memorial High School,16.41,2016,
48,0,0,315,0.61,5.45,93.33,92.73,11903,0.61,0.0,0.0,1.3,0.8,Alternatives in Action,0.61,2016,
49,47,0,46,63.32,15.28,85.15,18.34,16974,1.31,0.0,0.0,76.2,1.1,American Indian Public High School,1.75,2016,
50,47,2.3,46,2.66,1.52,93.54,93.54,17573,1.9,0.38,0.0,76.2,1.1,Arise High School,0.0,2016,
51,47,15.2,5,0.35,13.32,88.58,77.34,24802,8.48,0.35,0.0,76.2,1.1,Aspire Golden State College Preparatory Academy,0.17,2016,
52,47,38,82,0.75,5.46,91.34,92.09,12584,0.94,0.19,0.38,76.2,1.1,Aspire Lionel Wilson College Preparatory Academy,0.19,2016,
53,47,44.4,2,2.46,40.14,96.13,44.72,13627,1.41,0.0,0.7,76.2,1.1,Bay Area Technology School,10.56,2016,
54,47,44.4,2,11.6695,22.402,96.13,10.1363,8225,12.2658,0.340715,1.27768,76.2,1.1,Bishop O Dowd High School,41.908,2016,
55,47,18.6,4,1.77,35.99,80.67,55.14,25806,0.89,0.0,5.67,76.2,1.1,Castlemont High,0.53,2016,
56,47,0,4,10.26,61.54,88.46,24.36,17431,3.85,0.0,0.0,76.2,1.1,Civicorps Corpsmember Academy,0.0,2016,
57,32,55.8,22,1.45,12.03,95.64,85.27,17091,0.21,0.0,0.83,10.2,0,Coliseum College Prep Academy,0.21,2016,
58,0,55.8,22,0.0,44.44,88.89,55.56,14591,0.0,0.0,0.0,0,0,Community Day School,0.0,2016,
59,0,55.8,22,5.88,58.82,52.94,26.47,32014,0.0,0.0,0.0,0,0,Conservatory Of Vocal/Instrumental Arts High,8.82,2016,
60,9,55.8,22,10.95,36.32,74.63,47.76,200,2.49,1.0,0.5,12.5,0.8,Dewey Academy,1.0,2016,
61,9,55.8,22,5.81,15.99,15.41,25.58,31946,15.7,0.0,0.29,12.5,0.8,East Bay Innovation Academy,36.63,2016,
62,0,8.6,3,12.64,60.34,71.26,17.82,63,1.72,0.0,1.15,13.5,1.5,Emery Secondary School,6.32,2016,
63,0,46.7,17,1.97,38.33,67.32,51.35,16870,3.19,1.23,0.74,13.5,1.5,Envision Academy For Arts & Technology,3.19,2016,
64,0,46.7,17,9.09091,18.1818,67.32,27.2727,15510,0.0,0.0,0.0,13.5,1.5,Fred Finch-Oakland Hills Academy,45.4545,2016,
65,0,17.7,60,5.3,25.49,83.57,61.19,26957,1.68,0.0,4.53,13.5,1.5,Fremont High,1.81,2016,
66,0,0,60,3.33,36.67,57.78,42.22,25123,8.89,2.22,0.0,0,0,Gateway To College at Laney College School,6.67,2016,
67,0,0,60,16.2286,8.34286,57.78,4.22857,8679,22.5143,0.0,0.0,0,0,Head-Royce School,48.6857,2016,
68,0,0,60,12.3967,22.314,57.78,42.9752,8224,6.61157,0.0,0.0,0,0,Holy Names High School,15.7025,2016,
69,0,0,60,33.33,33.33,57.78,33.33,25135,0.0,0.0,0.0,0,0,Home And Hospital Program,0.0,2016,
70,2,0,60,3.63,36.79,68.91,45.08,13752,3.11,0.52,2.59,0.1,0,"Independent Study, Sojourner Truth School",8.29,2016,
71,0,12.5,14,7.4,7.4,94.08,82.03,11905,1.48,0.21,0.63,43.5,0.7,Life Academy,0.85,2016,
72,0,12,21,3.08,8.46,80.38,83.85,14112,1.92,0.0,0.0,43.5,0.7,Lighthouse Community Charter High School,2.69,2016,
73,0,28.8,0,2.32,13.89,96.96,81.19,234,0.58,0.0,1.16,35.3,0,Madison Park Academy 6-12,0.87,2016,
74,38,14.6,1,3.77,79.56,84.91,7.55,15024,4.09,0.31,0.94,25,0,Mcclymonds High School,3.77,2016,
75,38,14.6,1,15.0,5.0,84.91,15.0,31226,0.0,0.0,0.0,25,0,Mentoring Academy,65.0,2016,
76,54,0,1,6.13,26.99,78.53,58.28,12550,2.45,0.61,0.0,28.8,2.5,Metwest High School,5.52,2016,
77,54,51.5,113,49.13,4.96,83.13,44.42,17494,0.0,0.0,0.25,28.8,2.5,Oakland Charter High School,1.24,2016,
78,332,20.5,41,33.23,34.68,88.19,26.78,247,2.4,0.13,0.69,4.2,0.6,Oakland High School,2.08,2016,
79,0,1.4,41,20.91,4.29,91.96,63.81,17625,3.75,0.0,0.27,33.7,0,Oakland International High School,6.97,2016,
80,0,31.8,34,19.97,19.16,25.0,55.03,14667,0.16,0.32,0.65,33.7,0,"Oakland Military Institute, College Preparatory Academy",4.71,2016,
81,0,26.7,97,4.83,17.85,12.08,12.08,12307,27.65,0.67,0.4,33.7,0,Oakland School for the Arts,36.51,2016,
82,484,26.4,522,19.74,31.4,47.92,18.2,248,6.5,0.15,0.25,16.8,0.7,Oakland Technical High School,23.76,2016,
83,484,24.9,39,0.59,5.93,76.85,86.05,12385,6.23,0.59,0.59,16.8,0.7,Oakland Unity High School,0.0,2016,
84,484,24.9,39,15.4545,37.2727,76.85,40.9091,8477,0.909091,0.0,0.909091,16.8,0.7,Patten Academy Of Christian Education,4.54545,2016,
85,484,24.9,39,0.0,100.0,76.85,0.0,13066,0.0,0.0,0.0,16.8,0.7,Pentecostal Way Of Truth School Academy,0.0,2016,
86,0,24.9,39,4.0,68.0,94.67,26.67,24836,0.0,0.0,1.33,11.1,1,Ralph J. Bunche High School,0.0,2016,
87,4,24.9,39,1.9,43.67,71.52,51.27,203,0.63,0.0,1.27,20,0,Rudsdale Continuation School,1.27,2016,
88,4,24.9,39,1.2987,13.6364,71.52,72.7273,8208,8.44156,0.0,3.24675,20,0,Saint Elizabeth High School,0.649351,2016,
89,353,22.9,168,16.24,31.45,75.62,40.18,259,3.51,0.81,1.24,9.8,0.4,Skyline High School,6.58,2016,
90,353,22.9,168,12.1212,54.5455,75.62,13.6364,30765,4.54545,0.0,3.0303,9.8,0.4,Spectrum Center,12.1212,2016,
91,2,1.2,168,5.31,56.64,70.8,33.63,262,1.77,0.0,0.0,0,0,Street Academy (Alternative),2.65,2016,
92,2,1.2,168,28.0992,7.43802,70.8,6.61157,8692,14.0496,0.0,0.0,0,0,The College Preparatory School,43.8017,2016,
93,2,1.2,168,10.0,20.0,5.71,8.57,274,2.86,0.0,0.0,0,0,Millennium High Alternative School,58.57,2016,
94,2,39.5,390,17.88,2.25,1.13,4.13,275,7.25,0.13,0.13,0,0,Piedmont High School,68.25,2016,
95,627,47,2016,34.63,1.86,5.97,9.74,279,2.21,0.23,0.23,2.1,1.9,Amador Valley High School,51.1,2016,
96,619,43,1252,37.36,2.49,5.04,9.16,282,3.45,0.24,0.34,2.1,1.9,Foothill High School,46.95,2016,
97,619,43,1252,17.3913,0.0,5.04,8.69565,15826,4.34783,0.0,56.5217,2.1,1.9,Lighthouse Baptist School,13.0435,2016,
98,0,43,1252,8.65,3.85,32.69,26.92,288,3.85,0.0,0.96,2.8,1.5,Village High School,55.77,2016,
99,2,43,1252,6.15,23.08,72.31,63.08,294,2.31,0.0,2.31,17.2,10.5,Lincoln High (Continuation) School,3.08,2016,
100,373,21.1,311,24.14,17.6,62.03,44.47,300,2.73,0.27,1.58,0,0.3,San Leandro High School,9.2,2016,
101,373,21.1,311,6.41026,42.3077,62.03,19.2308,10159,1.28205,2.5641,0.0,0,0.3,Seneca Family Of Agencies - James Baldwin Academy,28.2051,2016,
102,373,0,311,18.83,4.55,37.01,56.49,26956,6.49,0.65,3.9,0,0.3,Decoto School For Independent Study,9.09,2016,
103,562,25.6,774,44.16,7.8,41.18,33.98,170,4.64,0.24,3.19,2.5,1,James Logan high school,5.98,2016,
104,60,21.5,71,1.61,0.2,37.35,21.69,323,7.43,2.81,0.6,12,1.7,Argonaut High School,65.66,2016,
105,77,31.2,124,1.24,0.16,39.53,17.21,322,7.91,2.48,0.0,7.8,0.8,Amador High School,71.01,2016,
106,2,31.2,124,0.0,5.56,55.56,27.78,14685,5.56,0.0,0.0,0,2,County Community School,61.11,2016,
107,2,31.2,124,5.45,0.0,87.27,29.09,324,7.27,1.82,0.0,0,0,Independence High (Continuation) School,56.36,2016,
108,0,6.6,124,3.55,2.37,58.58,34.32,335,4.14,0.59,0.0,9.1,0,Biggs High School,55.03,2016,
109,0,6.6,124,0.0,0.0,71.43,57.14,13942,0.0,0.0,0.0,0,0,Biggs Secondary Community Day School,42.86,2016,
110,0,6.6,124,7.14,7.14,71.43,35.71,17021,7.14,7.14,0.0,0,0,Academy For Change,35.71,2016,
111,0,6.6,124,0.0,0.0,86.96,65.22,32018,0.0,13.04,0.0,0,0,Butte County Community School - Lead,21.74,2016,
112,0,0,124,0.0,0.0,86.36,27.27,25803,9.09,4.55,0.0,0,0,Center For Alternative Learning,59.09,2016,
113,0,0,124,0.0,0.0,86.36,25.0,9973,12.5,0.0,0.0,0,0,Champion Christian School,62.5,2016,
114,264,28.8,460,7.07,3.95,33.28,24.87,340,3.62,1.22,0.56,1.7,0.6,Chico High School,58.71,2016,
115,264,0,460,1.59,0.87,42.42,14.86,17468,7.5,0.43,0.0,1.7,0.6,Core Butte Charter School,74.75,2016,
116,0,0,460,1.98,1.98,69.31,32.18,344,5.94,2.97,0.5,8.2,3.3,Fair View High (Continuation) School,54.46,2016,
117,26,13.5,68,1.35,0.9,25.45,12.61,25413,7.21,1.35,0.0,14.9,1.1,Inspire School of Arts and Sciences,76.58,2016,
118,0,13.5,68,3.23,6.45,38.71,12.9,12144,3.23,0.0,0.0,0,0,Loma Vista School,74.19,2016,
119,0,0,68,1.47,0.0,52.94,22.06,25802,13.24,0.0,0.0,0,0,Pivot Charter School North Valley,63.24,2016,
120,0,0,68,0.0,0.0,52.94,0.0,11270,7.5,0.0,0.0,0,0,Pleasant Valley Baptist School,92.5,2016,
121,247,16.5,236,8.31,1.82,32.93,19.6,354,2.64,1.43,1.05,1.2,0.8,Pleasant Valley High School,65.14,2016,
122,2,10.5,236,0.0,0.0,70.59,61.76,366,8.82,0.0,0.0,0,0,Esperanza High (Continuation) School,29.41,2016,
123,149,10,44,2.76,0.32,51.86,57.7,367,0.81,0.65,0.32,6.9,0.3,Gridley High School,37.44,2016,
124,0,10,44,7.25,0.0,73.91,18.84,12621,0.0,0.0,0.0,11.8,0,Butte County Special Education School,73.91,2016,
125,0,0,44,1.85,1.85,50.0,18.52,25227,5.56,24.07,0.0,40,0,Ipakanni Early College Charter,48.15,2016,
126,80,10.4,51,8.79,2.75,63.64,23.17,380,5.49,8.42,0.37,1.9,0.8,Las Plumas High School,51.01,2016,
127,80,0,51,1.43,2.51,79.21,34.05,10874,6.09,5.73,0.0,1.9,0.8,Learning Community Charter School,50.18,2016,
128,0,0,51,0.0,6.9,89.66,31.03,13935,6.9,6.9,0.0,33.3,0,Oroville High Community Day School,48.28,2016,
129,67,11.2,40,25.59,2.99,70.07,15.07,381,4.75,5.37,0.31,4.2,1.1,Oroville High School,45.92,2016,
130,0,11.2,40,1.55,0.78,86.82,22.48,382,20.93,7.75,0.0,0,2.5,Prospect High (Continuation) School,46.51,2016,
131,0,0,40,0.0,0.0,76.19,14.29,10877,6.8,2.04,0.0,0,0,Hometech Charter School,76.87,2016,
132,0,0,40,0.0,0.0,77.78,5.56,14224,11.11,0.0,0.0,0,0,Honey Run Academy Secondary,83.33,2016,
133,0,0,40,7.85714,0.0,77.78,15.7143,9042,1.42857,0.0,0.0,0,0,Paradise Adventist Academy,75.0,2016,
134,6,0,40,0.0,1.79,57.14,5.36,25381,19.64,0.0,0.0,0,9.5,Paradise Elearning Academy,73.21,2016,
135,66,11.3,79,1.66,0.65,52.54,11.63,393,7.66,0.74,0.09,14.3,0.2,Paradise Senior High School,77.56,2016,
136,95,19.5,103,1.48,0.15,55.79,21.66,637,6.38,2.23,0.15,0,3.9,Bret Harte Union High School,67.95,2016,
137,0,19.5,103,0.0,0.0,31.43,11.43,13643,5.71,0.0,0.0,0,0,Calaveras County Special Education (Selpa) School,82.86,2016,
138,0,0,103,0.0,0.0,41.18,17.65,10879,0.0,0.0,0.0,0,11.8,John Vierra High School,82.35,2016,
139,0,0,103,5.56,0.0,72.22,61.11,621,0.0,11.11,0.0,0,6.9,Colusa Alternative High (Continuation) School,22.22,2016,
140,2,0,103,0.0,3.39,52.54,59.32,10883,0.0,5.08,0.0,0,5.6,Colusa Alternative Home School,32.2,2016,
141,37,7.5,7,1.08,0.0,47.17,61.19,622,0.0,2.43,0.27,0,3.5,Colusa High School,35.04,2016,
142,0,7.5,7,0.0,0.0,37.5,87.5,14255,0.0,0.0,12.5,0,0,Colusa County Community School,0.0,2016,
143,0,7.5,7,0.0,0.0,72.73,86.36,632,0.0,0.0,0.0,0,0,Mid Valley High (Continuation) School,13.64,2016,
144,29,20.9,28,1.46,0.18,77.88,93.05,634,0.0,0.18,0.37,7.5,1.1,Williams Junior/Senior High School,4.75,2016,
145,143,15.4,61,5.23,22.14,70.91,49.0,407,2.56,0.83,1.06,3.5,2.4,Antioch High School,19.19,2016,
146,0,15.4,61,1.99,50.25,65.67,31.34,16839,3.48,0.5,0.5,7.1,1.8,Bidwell Continuation High School,11.94,2016,
147,0,15.4,61,0.0,85.71,100.0,14.29,14067,0.0,0.0,0.0,0,0,Bridges School,0.0,2016,
148,614,16.6,262,13.78,34.51,54.26,29.78,412,4.03,0.49,1.03,11.2,1.8,Deer Valley High School,16.37,2016,
149,122,35.1,110,17.23,18.83,52.41,41.02,24717,3.5,1.75,0.88,3.8,2.1,Dozier-Libbey Medical High School,16.79,2016,
150,0,35.1,110,10.64,27.66,55.32,36.17,14855,2.13,2.13,0.0,12.5,0,East County Elementary Special Education School,21.28,2016,
151,0,35.1,110,15.0538,27.957,55.32,27.957,9506,6.45161,0.0,3.22581,12.5,0,Heritage Baptist Academy,19.3548,2016,
152,0,35.1,110,0.0,44.4444,55.32,11.1111,9327,0.0,0.0,0.0,12.5,0,La Cheim School,44.4444,2016,
153,0,35.1,110,2.1,33.57,76.22,46.85,417,2.8,2.1,2.1,10,2.2,Live Oak High (Continuation) School,10.49,2016,
154,0,0.3,110,3.68,23.42,50.79,34.74,10884,4.21,1.58,1.32,0,2.3,Prospects High (Alternative) School,31.05,2016,
155,0,0.3,110,10.89,16.83,47.52,26.73,14850,2.97,1.98,3.96,0,0,Far East County Programs School,36.63,2016,
156,0,0.3,110,17.81,17.81,24.66,26.03,24800,2.74,1.37,1.37,28.6,0,Heritage Cccoe Special Education Programs School,32.88,2016,
157,6,0,110,1.83,7.93,22.26,38.72,11923,3.96,0.91,0.3,34.8,3.9,Independence High School,46.34,2016,
158,0,0,110,5.06,22.78,51.27,39.87,446,1.27,0.63,1.27,7.7,5.5,La Paloma High (Continuation) School,29.11,2016,
159,0,0,110,0.0,8.33333,51.27,83.3333,27295,0.0,0.0,0.0,7.7,5.5,Anova Education - ACE Contra Costa,8.33333,2016,
160,0,0,110,4.2236,2.48447,51.27,14.6584,8232,10.0621,0.248447,4.2236,7.7,5.5,Carondelet High School,64.0994,2016,
161,133,16.3,134,12.09,4.89,46.95,45.34,467,3.02,0.64,0.64,7,1.8,Concord High School,33.38,2016,
162,0,2.6,134,0.0,10.26,74.36,87.18,468,0.0,0.0,0.0,9.2,3.8,Crossroads High (Continuation) School,2.56,2016,
163,0,2.6,134,3.27553,5.39499,74.36,15.0289,8231,10.5973,1.05973,2.2158,9.2,3.8,De La Salle High School Of Concord,62.4277,2016,
164,0,2.6,134,0.0,9.09,81.82,63.64,13880,9.09,0.0,9.09,32.3,8.3,Diablo Community Day School,9.09,2016,
165,0,2.6,134,4.65116,2.32558,81.82,2.32558,11388,2.32558,0.0,0.0,32.3,8.3,Diablo Valley,88.3721,2016,
166,0,2.6,134,3.74,17.76,48.6,16.82,12496,0.93,0.93,0.93,6.2,0,Floyd I. Marchus School,58.88,2016,
167,83,10.1,59,9.79,9.49,75.21,66.64,485,3.29,0.08,2.37,11.2,2.1,Mt. Diablo High School,8.34,2016,
168,0,0.3,59,2.15,9.51,65.95,55.21,489,4.6,0.0,1.84,40.6,4.8,Olympic Continuation High School,26.69,2016,
169,0,0.3,59,0.0,16.6667,65.95,36.1111,15300,11.1111,2.77778,5.55556,40.6,4.8,"Seneca Family Of Agencies, Olivera School",27.7778,2016,
170,0,0.3,59,0.0,0.0,65.95,44.4444,26812,0.0,0.0,0.0,40.6,4.8,Spectrum Center - Ygnacio Campus,55.5556,2016,
171,76,20,91,6.5,4.57,74.71,72.08,511,2.99,0.53,0.53,10.1,1.3,Ygnacio Valley High School,12.82,2016,
172,0,1.9,91,6.98,9.3,23.26,20.93,539,6.98,0.0,2.33,0,13.2,Del Amigo High (Continuation) School,53.49,2016,
173,445,28.6,829,18.74,0.89,2.26,7.88,547,6.09,0.34,0.17,4.8,5.1,Monte Vista High School,65.89,2016,
174,445,28.6,829,7.60234,2.63158,2.26,2.63158,9168,2.63158,0.0,0.0,4.8,5.1,San Ramon Valley Christian Academy,84.5029,2016,
175,547,33.3,845,8.18,0.81,1.95,8.75,551,5.37,0.05,0.05,7.6,3.8,San Ramon Valley High School,76.8,2016,
176,547,33.3,845,16.9388,9.18367,1.95,13.2653,8693,10.2041,0.816327,0.408163,7.6,3.8,The Athenian School,49.1837,2016,
177,192,30.6,228,22.11,27.64,51.08,27.29,575,1.75,0.35,0.7,14.9,1.2,El Cerrito Senior High School,20.15,2016,
178,192,30.6,228,10.27,20.54,60.71,38.39,31759,14.29,0.45,0.45,14.9,1.2,Summit Public School K2,15.63,2016,
179,125,38.9,141,44.39,26.73,42.24,19.39,11927,1.63,0.1,0.71,2.8,1.3,Hercules High School,7.04,2016,
180,480,44.5,664,11.38,0.84,3.16,7.73,402,7.66,0.0,0.35,0,1.8,Acalanes High School,72.03,2016,
181,93,23.5,216,8.06,2.71,28.07,27.48,448,9.41,0.17,0.25,3.1,1.5,Alhambra Senior High School,51.91,2016,
182,2,0,216,0.0,7.41,40.74,25.93,10886,18.52,0.0,1.85,0,0,Briones (Alternative) School,46.3,2016,
183,0,0,216,1.05,8.42,50.53,30.53,451,14.74,2.11,1.05,0,3.4,Vicente Martinez High School,42.11,2016,
184,484,47.2,763,16.38,0.77,2.08,8.23,403,10.69,0.08,0.08,9.8,2.6,Campolindo High School,63.77,2016,
185,314,13.6,194,8.35,10.79,35.25,41.01,445,1.79,0.5,0.8,13.7,3.3,Freedom High School,36.78,2016,
186,314,13.6,194,0.0,11.7647,35.25,8.82353,9006,8.82353,0.0,0.0,13.7,3.3,Holden High School,70.5882,2016,
187,462,49,799,15.1,1.7,1.14,8.28,406,10.88,0.16,0.57,7.4,2.1,Miramonte High School,63.31,2016,
188,462,49,799,22.0779,10.3896,1.14,5.19481,9814,5.19481,3.8961,1.2987,7.4,2.1,Orinda Academy,51.9481,2016,
189,173,20.3,68,23.79,16.64,61.03,43.28,605,1.9,0.09,0.52,27,1.1,Pinole Valley High School,13.79,2016,
190,0,20.3,68,2.3,25.81,74.19,64.52,530,2.76,0.0,0.92,18.2,0,Black Diamond High (Continuation) School,3.69,2016,
191,0,20.3,68,2.74,21.92,91.78,57.53,14568,8.22,1.37,0.0,0,4.8,Golden Gate Community School,8.22,2016,
192,197,13.4,169,10.38,19.24,68.68,59.81,529,3.05,0.16,1.86,12.4,1,Pittsburg Senior High School,5.49,2016,
193,234,22.3,368,14.41,3.48,21.61,23.45,466,3.48,0.4,0.55,9,2.6,College Park High School,54.25,2016,
194,0,0,368,10.34,5.52,15.86,24.83,10887,10.34,0.69,0.0,0,2.8,Horizons Alternative School,48.28,2016,
195,0,0,368,29.7297,14.1892,15.86,18.9189,9044,16.8919,0.0,0.0,0,2.8,Pleasant Hill Adventist Academy,20.2703,2016,
196,0,3.8,368,0.0,8.33,62.5,41.67,493,0.0,0.0,0.0,0,4.7,Prospect High (Continuation) School,50.0,2016,
197,0,3.8,368,18.1818,13.6364,62.5,31.8182,9117,13.6364,0.0,9.09091,0,4.7,Arlington Christian School,13.6364,2016,
198,0,3.8,368,9.05,21.55,68.97,65.09,32025,1.72,0.43,0.0,0,4.7,Aspire Richmond Ca. College Preparatory Academy,2.16,2016,
199,63,24.3,133,20.62,23.18,68.1,43.57,571,1.58,0.08,1.28,28,1.2,De Anza Senior High School,9.71,2016,
200,0,1.2,133,3.37,33.43,80.9,57.02,580,1.4,0.28,0.28,12.5,1.1,Gompers (Samuel) Continuation School,4.21,2016,
201,0,1.2,133,0.8,2.4,82.4,94.4,32027,0.0,0.0,0.0,12.5,1.1,John Henry High,2.4,2016,
202,56,24.8,42,7.23,25.29,80.65,63.64,588,0.82,0.0,0.93,43.7,0.4,Kennedy High School,2.1,2016,
203,56,24.8,42,0.0,83.3333,80.65,8.33333,15239,0.0,0.0,0.0,43.7,0.4,La Cheim School,8.33333,2016,
204,141,43.4,130,2.15,6.46,91.59,90.8,12278,0.2,0.2,0.0,40.3,0,Leadership Public Schools: Richmond,0.2,2016,
205,0,14.7,1,1.98,10.41,80.76,86.43,17562,0.13,0.0,0.13,23.8,0.8,Making Waves Academy,0.92,2016,
206,116,11.4,34,6.41,5.24,92.41,86.32,607,0.2,0.0,0.39,17.2,0.3,Richmond High School,1.44,2016,
