,ActSat Number Participation,ApCourse Participation,ApCourse Passed,Asian,"Black, non-Hispanic",FreeAnd Reduced PriceLunch,Hispanic,Id,Multiracial,Native American or Native Alaskan,Native Hawaiian or Other Pacific Islander,Percent Teachers InFirst SecondYear,Plan504,Sname,"White, non-Hispanic",Year,index
2289,260,15.3,203,8.6,1.44,44.26,60.48,7544,1.86,1.21,0.0,20.5,1,Redwood High School,26.41,2016,
2290,0,15.3,203,0.93,2.78,72.22,54.63,12408,6.48,2.78,0.0,54.5,0,River Bend School,32.41,2016,
2291,0,0.3,203,2.59,2.91,70.87,82.2,7546,0.65,0.32,0.0,38,0.6,Sequoia High School,11.33,2016,
2292,0,0.3,203,2.75,2.75,59.12,71.86,12477,0.1,0.59,0.49,23.1,0,Special Education School,21.47,2016,
2293,21,0,203,5.31,1.63,39.59,46.12,25025,2.04,0.41,0.82,44,5.1,University Preparatory High School,43.67,2016,
2294,21,0,203,2.35,1.41,21.63,35.89,25593,4.7,0.63,0.0,44,5.1,Valley Life Charter School,55.02,2016,
2295,0,0.2,203,3.24,2.48,86.1,62.67,15073,3.24,1.33,0.38,42.9,1.5,Visalia Charter Independent Study,26.67,2016,
2296,0,0,203,0.79,1.97,46.06,41.73,25323,8.66,1.97,0.0,78.1,3.7,Visalia Technical Early College,44.88,2016,
2297,0,0,203,0.0,0.0,92.5,90.0,25830,0.0,2.5,0.0,78.1,3.7,Bravo Lake High School,7.5,2016,
2298,0,0,203,0.0,0.0,90.0,100.0,14666,0.0,0.0,0.0,0,0,Woodlake Community Day School,0.0,2016,
2299,0,20.3,68,0.6,0.3,83.26,85.97,25831,0.0,0.0,0.0,0,0,Woodlake High School,13.12,2016,
2300,0,20.3,68,0.0,0.0,70.45,29.55,7406,2.27,4.55,0.0,0,12.8,Dario Cassina High School,63.64,2016,
2301,0,1.8,68,0.59,0.88,38.94,16.52,17082,5.01,2.06,0.0,0,12.8,Gold Rush Charter School,74.93,2016,
