Year,CDS_CODE,COUNTY,DISTRICT,SCHOOL,Charter,Latitude,Longitude,Enroll12,NumTstTakr,AvgScrEng,AvgScrRead,AvgScrMath,AvgScrSci,NumGE21,PctGE21,(%)FRPM,American Indian or Alaska Native,Asian,Pacific Islander,Filipino,Hispanic or Latino,African American,White,Two or More Races,AvgScr
2014,10621171030501,Fresno,Clovis Unified,Buchanan High,N,36.857338,-119.71317,606.0,162.0,24.0,24.0,25.0,24.0,124.0,76.54,29.205246913580247,0.0049504950495049506,0.132013201320132,0.0016501650165016502,0.02145214521452145,0.24092409240924093,0.028052805280528052,0.5528052805280528,0.018151815181518153,24.25
2014,10621171030683,Fresno,Clovis Unified,Clovis East High,N,36.797552,-119.63892,471.0,86.0,22.0,22.0,22.0,22.0,55.0,63.95,52.92411793136781,0.012738853503184714,0.28662420382165604,0.0021231422505307855,0.016985138004246284,0.2929936305732484,0.029723991507430998,0.34182590233545646,0.016985138004246284,22.0
2014,10621171031053,Fresno,Clovis Unified,Clovis High,N,36.818233,-119.68183,737.0,178.0,22.0,23.0,22.0,22.0,115.0,64.61,44.75233806719778,0.0067842605156037995,0.09905020352781546,0.004070556309362279,0.0067842605156037995,0.3378561736770692,0.028493894165535955,0.5020352781546812,0.014925373134328358,22.25
2014,10621581032150,Fresno,Fowler Unified,Fowler High,N,36.633092,-119.67268,150.0,13.0,15.0,18.0,18.0,18.0,3.0,23.08,75.82260371959943,0.006666666666666667,0.12,0.0,0.0,0.78,0.006666666666666667,0.08666666666666667,0.0,17.25
2014,10621660108555,Fresno,Fresno Unified,Design Science Early College High,N,36.768182,-119.79604,80.0,44.0,20.0,20.0,21.0,21.0,22.0,50.0,76.8,0.0,0.1625,0.025,0.0,0.575,0.0375,0.2,0.0,20.5
2014,10621660114553,Fresno,Fresno Unified,University High,Y,36.809710,-119.74805,114.0,65.0,26.0,27.0,25.0,25.0,57.0,87.69,4.848484848484849,0.008771929824561403,0.15789473684210525,0.0,0.05263157894736842,0.20175438596491227,0.07017543859649122,0.5087719298245614,0.0,25.75
2014,10621661030279,Fresno,Fresno Unified,Bullard High,N,36.817150,-119.81057,568.0,137.0,20.0,22.0,21.0,20.0,80.0,58.39,48.57685009487666,0.00528169014084507,0.056338028169014086,0.00528169014084507,0.00528169014084507,0.3767605633802817,0.11971830985915492,0.42077464788732394,0.01056338028169014,20.75
2014,10621661030295,Fresno,Fresno Unified,Erma Duncan Polytechnical High,N,36.785032,-119.75317,207.0,14.0,17.0,18.0,19.0,19.0,5.0,35.71,82.43114909781576,0.004830917874396135,0.45410628019323673,0.0,0.0,0.5024154589371981,0.0,0.03864734299516908,0.0,18.25
2014,10621661030675,Fresno,Fresno Unified,Sunnyside High,N,36.733718,-119.71832,699.0,201.0,16.0,18.0,18.0,18.0,44.0,21.89,78.19767441860465,0.004291845493562232,0.30042918454935624,0.002861230329041488,0.002861230329041488,0.5693848354792561,0.06151645207439199,0.04864091559370529,0.010014306151645207,17.5
2014,10621661031897,Fresno,Fresno Unified,Edison High,N,36.721286,-119.80502,453.0,227.0,19.0,20.0,21.0,20.0,101.0,44.49,79.17748917748918,0.006622516556291391,0.19426048565121412,0.006622516556291391,0.008830022075055188,0.4900662251655629,0.18543046357615894,0.10816777041942605,0.0,20.0
