cds,rtype,sname,dname,cname,Enroll12,NumTstTakr,AvgScrEng,AvgScrRead,AvgScrMath,AvgScrSci,NumGE21,PctGE21
15635291532290,S,East Bakersfield High                             ,Kern High                                         ,Kern           ,493,57,18,19,19,19,19,33.33
15635291532605,S,Foothill High                                     ,Kern High                                         ,Kern           ,480,38,18,19,20,19,11,28.95
15635291533330,S,Highland High                                     ,Kern High                                         ,Kern           ,448,23,22,24,23,22,16,69.57
15635291533538,S,Kern Valley High                                  ,Kern High                                         ,Kern           ,101,35,20,22,21,22,18,51.43
15635291534775,S,North High                                        ,Kern High                                         ,Kern           ,397,41,19,20,20,20,18,43.90
15635291535087,S,Shafter High                                      ,Kern High                                         ,Kern           ,322,11,*,*,*,*,*,*
15635291535392,S,South High                                        ,Kern High                                         ,Kern           ,459,54,15,18,19,17,10,18.52
15635291536606,S,West High                                         ,Kern High                                         ,Kern           ,417,34,21,22,21,19,17,50.00
15636280000000,D,                                                  ,Maricopa Unified                                  ,Kern           ,137,2,*,*,*,*,*,*
15636280127209,S,California Virtual Academy High @ Maricopa        ,Maricopa Unified                                  ,Kern           ,117,1,*,*,*,*,*,*
15636281533843,S,Maricopa High                                     ,Maricopa Unified                                  ,Kern           ,20,1,*,*,*,*,*,*
15636770000000,D,                                                  ,Mojave Unified                                    ,Kern           ,163,28,18,20,19,19,7,25.00
15636770114512,S,California City High                              ,Mojave Unified                                    ,Kern           ,127,28,18,20,19,19,7,25.00
15636771534460,S,Mojave Jr./Sr. High                               ,Mojave Unified                                    ,Kern           ,36,0,N/A,N/A,N/A,N/A,N/A,N/A
15636850000000,D,                                                  ,Muroc Joint Unified                               ,Kern           ,129,25,23,24,22,23,15,60.00
15636851530997,S,Boron Junior-Senior High                          ,Muroc Joint Unified                               ,Kern           ,37,2,*,*,*,*,*,*
15636851531987,S,Desert Junior-Senior High                         ,Muroc Joint Unified                               ,Kern           ,92,23,23,24,22,23,14,60.87
15637760000000,D,                                                  ,Southern Kern Unified                             ,Kern           ,211,7,*,*,*,*,*,*
15637761530377,S,Abraham Lincoln Alternative                       ,Southern Kern Unified                             ,Kern           ,29,0,N/A,N/A,N/A,N/A,N/A,N/A
15637761534957,S,Rosamond High                                     ,Southern Kern Unified                             ,Kern           ,159,7,*,*,*,*,*,*
15638180000000,D,                                                  ,Taft Union High                                   ,Kern           ,254,9,*,*,*,*,*,*
15638181535905,S,Taft Union High                                   ,Taft Union High                                   ,Kern           ,229,9,*,*,*,*,*,*
15638260000000,D,                                                  ,Tehachapi Unified                                 ,Kern           ,354,14,*,*,*,*,*,*
15638261536135,S,Tehachapi High                                    ,Tehachapi Unified                                 ,Kern           ,293,14,*,*,*,*,*,*
15638590000000,D,                                                  ,Wasco Union High                                  ,Kern           ,409,54,17,19,19,20,16,29.63
15638591536440,S,Wasco High                                        ,Wasco Union High                                  ,Kern           ,345,54,17,19,19,20,16,29.63
15737420000000,D,                                                  ,Sierra Sands Unified                              ,Kern           ,376,22,24,24,25,25,18,81.82
15737421531367,S,Burroughs High                                    ,Sierra Sands Unified                              ,Kern           ,325,22,24,24,25,25,18,81.82
15739080000000,D,                                                  ,McFarland Unified                                 ,Kern           ,184,51,16,17,18,17,7,13.73
15739081534155,S,McFarland High                                    ,McFarland Unified                                 ,Kern           ,171,51,16,17,18,17,7,13.73
15751680000000,D,                                                  ,El Tejon Unified                                  ,Kern           ,69,3,*,*,*,*,*,*
15751681530401,S,Frazier Mountain High                             ,El Tejon Unified                                  ,Kern           ,69,3,*,*,*,*,*,*
16000000000000,C,                                                  ,                                                  ,Kings          ,2021,299,18,20,19,19,90,30.10
16101650000000,D,                                                  ,Kings County Office of Education                  ,Kings          ,55,0,N/A,N/A,N/A,N/A,N/A,N/A
16638750000000,D,                                                  ,Armona Union Elementary                           ,Kings          ,98,6,*,*,*,*,*,*
16638750101717,S,Crossroads Charter                                ,Armona Union Elementary                           ,Kings          ,40,0,N/A,N/A,N/A,N/A,N/A,N/A
16638750112698,S,California Virtual Academy @ Kings                ,Armona Union Elementary                           ,Kings          ,58,6,*,*,*,*,*,*
16638910000000,D,                                                  ,Corcoran Joint Unified                            ,Kings          ,206,44,19,20,19,19,14,31.82
16638911632207,S,Corcoran High                                     ,Corcoran Joint Unified                            ,Kings          ,190,44,19,20,19,19,14,31.82
16639250000000,D,                                                  ,Hanford Joint Union High                          ,Kings          ,890,75,19,20,20,19,27,36.00
16639250118919,S,Sierra Pacific High                               ,Hanford Joint Union High                          ,Kings          ,156,9,*,*,*,*,*,*
16639251630169,S,Hanford West High                                 ,Hanford Joint Union High                          ,Kings          ,323,29,18,18,19,18,6,20.69
16639251634401,S,Hanford High                                      ,Hanford Joint Union High                          ,Kings          ,316,37,20,23,21,20,19,51.35
16639580000000,D,                                                  ,Kit Carson Union Elementary                       ,Kings          ,74,0,N/A,N/A,N/A,N/A,N/A,N/A
16639580132860,S,Kings Valley Academy                              ,Kit Carson Union Elementary                       ,Kings          ,74,0,N/A,N/A,N/A,N/A,N/A,N/A
16639820000000,D,                                                  ,Lemoore Union High                                ,Kings          ,565,99,20,21,20,21,44,44.44
16639820110205,S,Lemoore Middle College High                       ,Lemoore Union High                                ,Kings          ,65,7,*,*,*,*,*,*
16639821635606,S,Lemoore High                                      ,Lemoore Union High                                ,Kings          ,459,92,19,21,20,21,39,42.39
16739320000000,D,                                                  ,Reef-Sunset Unified                               ,Kings          ,133,75,14,16,16,16,3,4.00
16739321630953,S,Avenal High                                       ,Reef-Sunset Unified                               ,Kings          ,121,75,14,16,16,16,3,4.00
17000000000000,C,                                                  ,                                                  ,Lake           ,610,63,22,23,22,22,39,61.90
17640140000000,D,                                                  ,Kelseyville Unified                               ,Lake           ,133,19,22,23,23,23,11,57.89
17640141734359,S,Kelseyville High                                  ,Kelseyville Unified                               ,Lake           ,128,19,22,23,23,23,11,57.89
17640220000000,D,                                                  ,Konocti Unified                                   ,Lake           ,192,16,21,23,20,20,7,43.75
17640220132571,S,Konocti Education Center                          ,Konocti Unified                                   ,Lake           ,34,0,N/A,N/A,N/A,N/A,N/A,N/A
17640221735000,S,Lower Lake High                                   ,Konocti Unified                                   ,Lake           ,109,16,21,23,20,20,7,43.75
17640300000000,D,                                                  ,Lakeport Unified                                  ,Lake           ,98,3,*,*,*,*,*,*
17640301732304,S,Clear Lake High                                   ,Lakeport Unified                                  ,Lake           ,74,3,*,*,*,*,*,*
17640550000000,D,                                                  ,Middletown Unified                                ,Lake           ,122,9,*,*,*,*,*,*
17640551736008,S,Middletown High                                   ,Middletown Unified                                ,Lake           ,107,9,*,*,*,*,*,*
17640710000000,D,                                                  ,Upper Lake Union High                             ,Lake           ,62,16,22,22,20,21,10,62.50
17640711737006,S,Upper Lake High                                   ,Upper Lake Union High                             ,Lake           ,57,16,22,22,20,21,10,62.50
18000000000000,C,                                                  ,                                                  ,Lassen         ,409,29,22,24,21,21,20,68.97
18640890000000,D,                                                  ,Big Valley Joint Unified                          ,Lassen         ,20,0,N/A,N/A,N/A,N/A,N/A,N/A
18640891831601,S,Big Valley Jr. Sr. High                           ,Big Valley Joint Unified                          ,Lassen         ,20,0,N/A,N/A,N/A,N/A,N/A,N/A
18641390000000,D,                                                  ,Lassen Union High                                 ,Lassen         ,221,26,21,23,21,21,17,65.38
18641391833805,S,Lassen High                                       ,Lassen Union High                                 ,Lassen         ,220,26,21,23,21,21,17,65.38
18641620000000,D,                                                  ,Ravendale-Termo Elementary                        ,Lassen         ,66,2,*,*,*,*,*,*
18641620120287,S,New Day Academy                                   ,Ravendale-Termo Elementary                        ,Lassen         ,18,2,*,*,*,*,*,*
18641626010763,S,Long Valley Charter                               ,Ravendale-Termo Elementary                        ,Lassen         ,48,0,N/A,N/A,N/A,N/A,N/A,N/A
18642040000000,D,                                                  ,Westwood Unified                                  ,Lassen         ,60,1,*,*,*,*,*,*
18642041830132,S,Westwood Charter                                  ,Westwood Unified                                  ,Lassen         ,53,1,*,*,*,*,*,*
18750360000000,D,                                                  ,Fort Sage Unified                                 ,Lassen         ,39,0,N/A,N/A,N/A,N/A,N/A,N/A
18750360121657,S,Mt. Lassen Charter                                ,Fort Sage Unified                                 ,Lassen         ,19,0,N/A,N/A,N/A,N/A,N/A,N/A
18750361833409,S,Herlong High                                      ,Fort Sage Unified                                 ,Lassen         ,20,0,N/A,N/A,N/A,N/A,N/A,N/A
19000000000000,C,                                                  ,                                                  ,Los Angeles    ,121303,27242,20,21,21,20,12944,47.51
19101990000000,D,                                                  ,Los Angeles County Office of Education            ,Los Angeles    ,1537,141,21,21,20,20,69,48.94
19101990109942,S,Los Angeles International Charter High            ,Los Angeles County Office of Education            ,Los Angeles    ,60,56,15,16,18,16,9,16.07
19101990123612,S,Pacific Lodge Residential Education Center        ,Los Angeles County Office of Education            ,Los Angeles    ,27,1,*,*,*,*,*,*
19101990127522,S,Optimist Charter                                  ,Los Angeles County Office of Education            ,Los Angeles    ,42,0,N/A,N/A,N/A,N/A,N/A,N/A
19101991933399,S,L.A. County High School for the Arts              ,Los Angeles County Office of Education            ,Los Angeles    ,161,58,26,26,22,23,42,72.41
19101991995257,S,Alternative Opportunity Programs                  ,Los Angeles County Office of Education            ,Los Angeles    ,76,0,N/A,N/A,N/A,N/A,N/A,N/A
19101991995869,S,International Polytechnic High                    ,Los Angeles County Office of Education            ,Los Angeles    ,130,26,23,23,23,22,18,69.23
19642120000000,D,                                                  ,ABC Unified                                       ,Los Angeles    ,1714,332,26,26,27,25,265,79.82
19642121930056,S,Cerritos High                                     ,ABC Unified                                       ,Los Angeles    ,530,146,26,26,28,25,126,86.30
19642121930361,S,Artesia High                                      ,ABC Unified                                       ,Los Angeles    ,355,30,19,20,20,20,11,36.67
19642121931880,S,Whitney (Gretchen) High                           ,ABC Unified                                       ,Los Angeles    ,156,104,30,30,30,29,101,97.12
19642121933159,S,Gahr (Richard) High                               ,ABC Unified                                       ,Los Angeles    ,428,52,20,21,22,21,27,51.92
19642121995596,S,ABC Secondary (Alternative)                       ,ABC Unified                                       ,Los Angeles    ,44,0,N/A,N/A,N/A,N/A,N/A,N/A
19642460000000,D,                                                  ,Antelope Valley Union High                        ,Los Angeles    ,6805,702,19,20,20,20,286,40.74
19642460100081,S,William J. (Pete) Knight High                     ,Antelope Valley Union High                        ,Los Angeles    ,666,104,19,21,20,20,44,42.31
19642460108407,S,Eastside High                                     ,Antelope Valley Union High                        ,Los Angeles    ,497,98,17,19,18,18,32,32.65
19642460111872,S,SOAR High (Students On Academic Rise)             ,Antelope Valley Union High                        ,Los Angeles    ,89,46,21,23,23,22,30,65.22
19642460115337,S,Los Angeles County Online High                    ,Antelope Valley Union High                        ,Los Angeles    ,167,0,N/A,N/A,N/A,N/A,N/A,N/A
19642461930213,S,Antelope Valley High                              ,Antelope Valley Union High                        ,Los Angeles    ,389,69,15,17,17,16,10,14.49
19642461936624,S,Palmdale High                                     ,Antelope Valley Union High                        ,Los Angeles    ,647,45,19,21,20,19,19,42.22
19642461937051,S,Quartz Hill High                                  ,Antelope Valley Union High                        ,Los Angeles    ,755,91,22,23,22,22,54,59.34
19642461995398,S,Highland High                                     ,Antelope Valley Union High                        ,Los Angeles    ,735,102,20,21,21,20,52,50.98
19642461995406,S,Littlerock High                                   ,Antelope Valley Union High                        ,Los Angeles    ,337,84,17,18,17,18,12,14.29
19642461995844,S,Lancaster High                                    ,Antelope Valley Union High                        ,Los Angeles    ,531,63,19,22,20,20,33,52.38
19642461996537,S,Desert Sands Charter                              ,Antelope Valley Union High                        ,Los Angeles    ,1182,0,N/A,N/A,N/A,N/A,N/A,N/A
19642610000000,D,                                                  ,Arcadia Unified                                   ,Los Angeles    ,872,290,27,27,28,26,253,87.24
19642611930288,S,Arcadia High                                      ,Arcadia Unified                                   ,Los Angeles    ,844,290,27,27,28,26,253,87.24
19642611995299,S,Rancho Learning Center (Alternative)              ,Arcadia Unified                                   ,Los Angeles    ,28,0,N/A,N/A,N/A,N/A,N/A,N/A
19642790000000,D,                                                  ,Azusa Unified                                     ,Los Angeles    ,692,56,19,20,21,20,24,42.86
19642791930528,S,Azusa High                                        ,Azusa Unified                                     ,Los Angeles    ,307,44,18,20,20,19,18,40.91
19642791933449,S,Gladstone High                                    ,Azusa Unified                                     ,Los Angeles    ,276,12,*,*,*,*,*,*
19642870000000,D,                                                  ,Baldwin Park Unified                              ,Los Angeles    ,2102,258,19,20,20,20,100,38.76
19642870114397,S,Opportunities For Learning - Baldwin Park II      ,Baldwin Park Unified                              ,Los Angeles    ,699,0,N/A,N/A,N/A,N/A,N/A,N/A
19642871930601,S,Baldwin Park High                                 ,Baldwin Park Unified                              ,Los Angeles    ,418,120,18,20,20,19,43,35.83
19642871938166,S,Sierra Vista High                                 ,Baldwin Park Unified                              ,Los Angeles    ,433,138,19,20,21,20,57,41.30
19642871996479,S,Opportunities for Learning - Baldwin Park         ,Baldwin Park Unified                              ,Los Angeles    ,293,0,N/A,N/A,N/A,N/A,N/A,N/A
19642950000000,D,                                                  ,Bassett Unified                                   ,Los Angeles    ,309,40,18,19,19,18,14,35.00
19642951930700,S,Bassett Senior High                               ,Bassett Unified                                   ,Los Angeles    ,266,40,18,19,19,18,14,35.00
19643030000000,D,                                                  ,Bellflower Unified                                ,Los Angeles    ,1054,66,20,21,21,20,28,42.42
19643031930775,S,Bellflower High                                   ,Bellflower Unified                                ,Los Angeles    ,382,11,*,*,*,*,*,*
19643031935618,S,Mayfair High                                      ,Bellflower Unified                                ,Los Angeles    ,501,55,20,21,21,20,25,45.45
19643110000000,D,                                                  ,Beverly Hills Unified                             ,Los Angeles    ,415,109,26,26,26,25,94,86.24
19643111930981,S,Beverly Hills High                                ,Beverly Hills Unified                             ,Los Angeles    ,407,109,26,26,26,25,94,86.24
19643290000000,D,                                                  ,Bonita Unified                                    ,Los Angeles    ,853,296,23,23,22,23,193,65.20
19643291931088,S,Bonita High                                       ,Bonita Unified                                    ,Los Angeles    ,478,218,22,23,22,22,136,62.39
19643291937739,S,San Dimas High                                    ,Bonita Unified                                    ,Los Angeles    ,320,78,24,24,23,23,57,73.08
19643370000000,D,                                                  ,Burbank Unified                                   ,Los Angeles    ,1584,284,24,25,24,24,219,77.11
19643371931187,S,Burbank High                                      ,Burbank Unified                                   ,Los Angeles    ,582,131,25,26,26,25,110,83.97
19643371931237,S,Burroughs High                                    ,Burbank Unified                                   ,Los Angeles    ,616,147,23,24,23,23,104,70.75
19643371996099,S,Options for Youth-Burbank Charter                 ,Burbank Unified                                   ,Los Angeles    ,231,6,*,*,*,*,*,*
19643520000000,D,                                                  ,Centinela Valley Union High                       ,Los Angeles    ,1794,273,16,18,18,17,62,22.71
19643520118521,S,Centinela Valley Independent Study                ,Centinela Valley Union High                       ,Los Angeles    ,81,0,N/A,N/A,N/A,N/A,N/A,N/A
19643520128488,S,Family First Charter                              ,Centinela Valley Union High                       ,Los Angeles    ,93,0,N/A,N/A,N/A,N/A,N/A,N/A
19643520128496,S,New Opportunities Charter                         ,Centinela Valley Union High                       ,Los Angeles    ,37,0,N/A,N/A,N/A,N/A,N/A,N/A
19643521933951,S,Hawthorne High                                    ,Centinela Valley Union High                       ,Los Angeles    ,455,107,16,17,17,17,15,14.02
19643521934926,S,Lawndale High                                     ,Centinela Valley Union High                       ,Los Angeles    ,586,97,16,18,18,18,25,25.77
19643521935048,S,Leuzinger High                                    ,Centinela Valley Union High                       ,Los Angeles    ,390,69,17,19,19,18,22,31.88
19643780000000,D,                                                  ,Charter Oak Unified                               ,Los Angeles    ,485,90,20,21,22,21,50,55.56
19643781931666,S,Charter Oak High                                  ,Charter Oak Unified                               ,Los Angeles    ,408,89,20,21,22,21,49,55.06
19643781995885,S,Oak Knoll Alternative                             ,Charter Oak Unified                               ,Los Angeles    ,18,1,*,*,*,*,*,*
19643940000000,D,                                                  ,Claremont Unified                                 ,Los Angeles    ,562,199,25,25,24,24,147,73.87
19643941931807,S,San Antonio High (Continuation)                   ,Claremont Unified                                 ,Los Angeles    ,37,1,*,*,*,*,*,*
19643941931823,S,Claremont High                                    ,Claremont Unified                                 ,Los Angeles    ,522,198,25,25,24,24,146,73.74
19644360000000,D,                                                  ,Covina-Valley Unified                             ,Los Angeles    ,1141,138,19,20,21,20,54,39.13
19644361932086,S,Covina High                                       ,Covina-Valley Unified                             ,Los Angeles    ,306,27,20,20,23,21,15,55.56
19644361936418,S,Northview High                                    ,Covina-Valley Unified                             ,Los Angeles    ,314,75,18,19,19,19,20,26.67
19644361938372,S,South Hills High                                  ,Covina-Valley Unified                             ,Los Angeles    ,434,36,20,22,22,21,19,52.78
19644440000000,D,                                                  ,Culver City Unified                               ,Los Angeles    ,507,183,23,24,23,23,117,63.93
19644441932201,S,Culver City High                                  ,Culver City Unified                               ,Los Angeles    ,481,183,23,24,23,23,117,63.93
19644510000000,D,                                                  ,Downey Unified                                    ,Los Angeles    ,2020,340,19,20,20,20,140,41.18
19644511932441,S,Downey High                                       ,Downey Unified                                    ,Los Angeles    ,992,139,20,22,21,20,67,48.20
19644511939164,S,Warren High                                       ,Downey Unified                                    ,Los Angeles    ,855,201,18,20,20,19,73,36.32
19644690000000,D,                                                  ,Duarte Unified                                    ,Los Angeles    ,327,29,21,22,21,21,15,51.72
19644690128736,S,Opportunities for Learning - Duarte               ,Duarte Unified                                    ,Los Angeles    ,82,0,N/A,N/A,N/A,N/A,N/A,N/A
19644691932482,S,Duarte High                                       ,Duarte Unified                                    ,Los Angeles    ,220,29,21,22,21,21,15,51.72
19645190000000,D,                                                  ,El Monte Union High                               ,Los Angeles    ,2326,508,19,20,21,19,204,40.16
19645191930320,S,Arroyo High                                       ,El Monte Union High                               ,Los Angeles    ,515,86,21,21,22,21,49,56.98
19645191932664,S,El Monte High                                     ,El Monte Union High                               ,Los Angeles    ,438,154,17,18,20,18,43,27.92
19645191932680,S,Mountain View High                                ,El Monte Union High                               ,Los Angeles    ,336,74,17,19,19,19,20,27.03
19645191937481,S,Rosemead High                                     ,El Monte Union High                               ,Los Angeles    ,421,118,22,22,23,22,74,62.71
19645191938919,S,Fernando R. Ledesma Continuation High             ,El Monte Union High                               ,Los Angeles    ,242,1,*,*,*,*,*,*
19645191995661,S,South El Monte High                               ,El Monte Union High                               ,Los Angeles    ,330,75,17,18,19,18,18,24.00
19645270000000,D,                                                  ,El Rancho Unified                                 ,Los Angeles    ,740,215,18,19,20,18,73,33.95
19645271932706,S,El Rancho High                                    ,El Rancho Unified                                 ,Los Angeles    ,611,215,18,19,20,18,73,33.95
19645350000000,D,                                                  ,El Segundo Unified                                ,Los Angeles    ,343,148,24,25,23,23,109,73.65
19645351932763,S,El Segundo High                                   ,El Segundo Unified                                ,Los Angeles    ,330,148,24,25,23,23,109,73.65
19645680000000,D,                                                  ,Glendale Unified                                  ,Los Angeles    ,2167,376,26,26,26,25,312,82.98
19645681932144,S,Crescenta Valley High                             ,Glendale Unified                                  ,Los Angeles    ,674,230,27,27,27,26,200,86.96
19645681933530,S,Glendale High                                     ,Glendale Unified                                  ,Los Angeles    ,639,55,22,24,24,22,35,63.64
19645681934082,S,Herbert Hoover High                               ,Glendale Unified                                  ,Los Angeles    ,391,52,24,24,25,23,43,82.69
19645681995497,S,Verdugo Academy                                   ,Glendale Unified                                  ,Los Angeles    ,19,2,*,*,*,*,*,*
19645681996131,S,Anderson W. Clark Magnet High                     ,Glendale Unified                                  ,Los Angeles    ,255,37,24,26,26,24,33,89.19
19645760000000,D,                                                  ,Glendora Unified                                  ,Los Angeles    ,588,131,24,25,25,24,105,80.15
19645761933597,S,Glendora High                                     ,Glendora Unified                                  ,Los Angeles    ,552,131,24,25,25,24,105,80.15
19645840000000,D,                                                  ,Gorman Elementary                                 ,Los Angeles    ,219,17,22,23,21,22,9,52.94
19645841996305,S,Gorman Learning Center                            ,Gorman Elementary                                 ,Los Angeles    ,219,17,22,23,21,22,9,52.94
19645920000000,D,                                                  ,Hawthorne                                         ,Los Angeles    ,120,114,21,22,23,21,74,64.91
19645920100354,S,Hawthorne Math and Science Academy                ,Hawthorne                                         ,Los Angeles    ,120,114,21,22,23,21,74,64.91
19646340000000,D,                                                  ,Inglewood Unified                                 ,Los Angeles    ,811,197,16,17,17,17,32,16.24
19646341934231,S,Inglewood High                                    ,Inglewood Unified                                 ,Los Angeles    ,283,106,15,17,16,16,12,11.32
19646341936046,S,Morningside High School                           ,Inglewood Unified                                 ,Los Angeles    ,239,35,15,16,17,16,3,8.57
19646341996529,S,City Honors College Preparatory Academy           ,Inglewood Unified                                 ,Los Angeles    ,63,28,17,18,17,17,6,21.43
19646341996586,S,Animo Inglewood Charter High                      ,Inglewood Unified                                 ,Los Angeles    ,137,28,18,18,22,18,11,39.29
19646590000000,D,                                                  ,La Canada Unified                                 ,Los Angeles    ,346,175,28,28,28,27,156,89.14
19646591934611,S,La Canada High                                    ,La Canada Unified                                 ,Los Angeles    ,341,175,28,28,28,27,156,89.14
19646830000000,D,                                                  ,Las Virgenes Unified                              ,Los Angeles    ,971,376,27,26,26,25,321,85.37
19646831930080,S,Agoura High                                       ,Las Virgenes Unified                              ,Los Angeles    ,502,208,26,26,26,25,178,85.58
19646831931781,S,Calabasas High                                    ,Las Virgenes Unified                              ,Los Angeles    ,443,168,27,26,26,26,143,85.12
19646910000000,D,                                                  ,Lawndale Elementary                               ,Los Angeles    ,117,17,22,20,22,21,10,58.82
19646911996438,S,Environmental Charter High                        ,Lawndale Elementary                               ,Los Angeles    ,117,17,22,20,22,21,10,58.82
19647090000000,D,                                                  ,Lennox                                            ,Los Angeles    ,264,225,16,17,18,17,42,18.67
19647090100602,S,"Lennox Mathematics, Science and Technology Academy",Lennox                                            ,Los Angeles    ,131,118,17,17,19,18,28,23.73
19647091996313,S,Animo Leadership High                             ,Lennox                                            ,Los Angeles    ,133,107,15,16,18,16,14,13.08
19647250000000,D,                                                  ,Long Beach Unified                                ,Los Angeles    ,6299,1001,21,22,22,21,545,54.45
19647250125153,S,Beach High-Intensive Learning Program             ,Long Beach Unified                                ,Los Angeles    ,66,0,N/A,N/A,N/A,N/A,N/A,N/A
19647251930411,S,Avalon K-12                                       ,Long Beach Unified                                ,Los Angeles    ,50,4,*,*,*,*,*,*
19647251934470,S,Jordan High                                       ,Long Beach Unified                                ,Los Angeles    ,804,141,15,17,18,17,22,15.60
19647251934678,S,Lakewood High                                     ,Long Beach Unified                                ,Los Angeles    ,821,88,20,22,22,21,48,54.55
19647251935758,S,Millikan High                                     ,Long Beach Unified                                ,Los Angeles    ,842,172,20,21,21,20,94,54.65
19647251936947,S,Polytechnic High                                  ,Long Beach Unified                                ,Los Angeles    ,1077,271,23,23,23,23,186,68.63
19647251939875,S,Wilson High                                       ,Long Beach Unified                                ,Los Angeles    ,903,146,23,24,23,22,105,71.92
19647251995539,S,California Academy of Mathematics and Science     ,Long Beach Unified                                ,Los Angeles    ,164,78,27,27,27,27,71,91.03
19647251995570,S,Educational Partnership High                      ,Long Beach Unified                                ,Los Angeles    ,680,0,N/A,N/A,N/A,N/A,N/A,N/A
19647251995935,S,Cabrillo High                                     ,Long Beach Unified                                ,Los Angeles    ,579,94,16,17,18,17,12,12.77
19647251996503,S,Renaissance High School for the Arts              ,Long Beach Unified                                ,Los Angeles    ,112,7,*,*,*,*,*,*
19647330000000,D,                                                  ,Los Angeles Unified                               ,Los Angeles    ,43432,11550,18,19,19,18,3608,31.24
19647330100677,S,High Tech LA                                      ,Los Angeles Unified                               ,Los Angeles    ,80,28,25,24,24,23,22,78.57
19647330100750,S,Wallis Annenberg High                             ,Los Angeles Unified                               ,Los Angeles    ,99,0,N/A,N/A,N/A,N/A,N/A,N/A
19647330100776,S,North Valley Military Institute College Preparator,Los Angeles Unified                               ,Los Angeles    ,23,7,*,*,*,*,*,*
19647330100800,S,Central City Value                                ,Los Angeles Unified                               ,Los Angeles    ,117,29,16,16,18,17,5,17.24
19647330101196,S,View Park Preparatory Accelerated High            ,Los Angeles Unified                               ,Los Angeles    ,165,0,N/A,N/A,N/A,N/A,N/A,N/A
19647330101329,S,William J. Johnston Community Day                 ,Los Angeles Unified                               ,Los Angeles    ,30,1,*,*,*,*,*,*
19647330101659,S,Crenshaw Arts-Technology Charter High             ,Los Angeles Unified                               ,Los Angeles    ,33,13,*,*,*,*,*,*
19647330101675,S,Oscar De La Hoya Animo Charter High               ,Los Angeles Unified                               ,Los Angeles    ,148,83,15,15,17,15,8,9.64
19647330101683,S,Renaissance Arts Academy                          ,Los Angeles Unified                               ,Los Angeles    ,42,35,23,22,20,21,19,54.29
19647330102434,S,Animo South Los Angeles Charter                   ,Los Angeles Unified                               ,Los Angeles    ,149,75,14,15,16,15,5,6.67
19647330102541,S,New Designs Charter                               ,Los Angeles Unified                               ,Los Angeles    ,77,75,15,16,17,16,11,14.67
19647330102913,S,Middle College High                               ,Los Angeles Unified                               ,Los Angeles    ,107,31,17,19,19,18,11,35.48
19647330102921,S,Harbor Teacher Preparation Academy                ,Los Angeles Unified                               ,Los Angeles    ,92,45,21,21,22,20,26,57.78
19647330106351,S,Ivy Academia                                      ,Los Angeles Unified                               ,Los Angeles    ,48,4,*,*,*,*,*,*
19647330106435,S,Camino Nuevo Charter High                         ,Los Angeles Unified                               ,Los Angeles    ,34,23,14,15,15,15,0,0.00
19647330106831,S,Animo Venice Charter High                         ,Los Angeles Unified                               ,Los Angeles    ,127,96,16,17,18,17,23,23.96
19647330106849,S,Animo Pat Brown                                   ,Los Angeles Unified                               ,Los Angeles    ,146,144,15,16,17,16,19,13.19
19647330106864,S,Alliance Gertz-Ressler Richard Merkin 6-12 Complex,Los Angeles Unified                               ,Los Angeles    ,122,121,18,18,19,18,36,29.75
19647330106997,S,Orthopaedic Hospital                              ,Los Angeles Unified                               ,Los Angeles    ,185,45,18,19,19,19,15,33.33
19647330107003,S,Northridge Academy High                           ,Los Angeles Unified                               ,Los Angeles    ,215,31,20,20,19,20,14,45.16
19647330107011,S,International Studies Learning Center at Legacy Hi,Los Angeles Unified                               ,Los Angeles    ,109,19,17,19,20,19,7,36.84
19647330107755,S,Port of Los Angeles High                          ,Los Angeles Unified                               ,Los Angeles    ,220,71,22,22,23,21,44,61.97
19647330108878,S,CHAMPS - Charter HS of Arts-Multimedia & Performin,Los Angeles Unified                               ,Los Angeles    ,190,72,22,22,20,21,42,58.33
19647330108894,S,Alliance Judy Ivie Burton Technology Academy High ,Los Angeles Unified                               ,Los Angeles    ,134,135,15,16,18,16,20,14.81
19647330108928,S,Larchmont Charter                                 ,Los Angeles Unified                               ,Los Angeles    ,46,0,N/A,N/A,N/A,N/A,N/A,N/A
19647330108936,S,Alliance Collins Family College-Ready High        ,Los Angeles Unified                               ,Los Angeles    ,146,151,16,16,18,17,28,18.54
19647330109322,S,Pacific Boulevard                                 ,Los Angeles Unified                               ,Los Angeles    ,25,0,N/A,N/A,N/A,N/A,N/A,N/A
19647330109447,S,Santee Education Complex                          ,Los Angeles Unified                               ,Los Angeles    ,318,38,15,18,17,17,8,21.05
19647330109454,S,South East High                                   ,Los Angeles Unified                               ,Los Angeles    ,445,133,18,19,18,18,47,35.34
19647330109462,S,Maywood Academy High                              ,Los Angeles Unified                               ,Los Angeles    ,279,71,17,18,18,17,17,23.94
19647330110304,S,Los Angeles Academy of Arts & Enterprise Charter  ,Los Angeles Unified                               ,Los Angeles    ,28,20,13,14,17,16,2,10.00
19647330111484,S,New Village Girls Academy                         ,Los Angeles Unified                               ,Los Angeles    ,27,7,*,*,*,*,*,*
19647330111492,S,Alliance Patti And Peter Neuwirth Leadership Acade,Los Angeles Unified                               ,Los Angeles    ,119,119,14,14,16,15,11,9.24
19647330111500,S,Alliance Dr. Olga Mohan High                      ,Los Angeles Unified                               ,Los Angeles    ,105,102,17,17,20,17,29,28.43
