Year,Rtype,Sname,Dname,Cname,Enroll12,NumTstTakr,AvgScrEng,AvgScrRead,AvgScrMath,AvgScrSci,NumGE21,PctGE21
2014,D,,Lassen Union High,Lassen,228,25,22.0,23.0,23.0,22.0,17,68.0
2014,S,Lassen High,Lassen Union High,Lassen,215,25,22.0,23.0,23.0,22.0,17,68.0
2014,S,El Monte High,El Monte Union High,Los Angeles,476,158,17.0,18.0,20.0,18.0,50,31.65
2014,S,Mountain View High,El Monte Union High,Los Angeles,377,94,18.0,18.0,20.0,17.0,28,29.79
2014,S,Rosemead High,El Monte Union High,Los Angeles,437,124,22.0,22.0,24.0,21.0,77,62.1
2014,S,South El Monte High,El Monte Union High,Los Angeles,353,126,18.0,19.0,20.0,18.0,40,31.75
2014,D,,El Rancho Unified,Los Angeles,798,187,17.0,18.0,19.0,18.0,53,28.34
2014,S,El Rancho High,El Rancho Unified,Los Angeles,662,187,17.0,18.0,19.0,18.0,53,28.34
2014,D,,El Segundo Unified,Los Angeles,305,126,25.0,24.0,25.0,24.0,98,77.78
2014,S,El Segundo High,El Segundo Unified,Los Angeles,298,126,25.0,24.0,25.0,24.0,98,77.78
2014,D,,Glendale Unified,Los Angeles,2282,345,24.0,24.0,26.0,24.0,268,77.68
2014,S,Crescenta Valley High,Glendale Unified,Los Angeles,714,232,25.0,25.0,27.0,24.0,189,81.47
2014,S,Glendale High,Glendale Unified,Los Angeles,654,51,21.0,21.0,24.0,22.0,31,60.78
2014,S,Herbert Hoover High,Glendale Unified,Los Angeles,439,31,22.0,23.0,24.0,23.0,21,67.74
2014,S,Anderson W. Clark Magnet High,Glendale Unified,Los Angeles,252,31,25.0,24.0,27.0,23.0,27,87.1
2014,D,,Glendora Unified,Los Angeles,640,90,25.0,25.0,27.0,24.0,71,78.89
2014,S,Glendora High,Glendora Unified,Los Angeles,570,90,25.0,25.0,27.0,24.0,71,78.89
2014,D,,Hawthorne,Los Angeles,122,131,19.0,20.0,21.0,19.0,57,43.51
2014,S,Hawthorne Math and Science Academy,Hawthorne,Los Angeles,122,131,19.0,20.0,21.0,19.0,57,43.51
2014,D,,Inglewood Unified,Los Angeles,997,298,16.0,17.0,17.0,16.0,46,15.44
2014,S,Inglewood High,Inglewood Unified,Los Angeles,361,110,14.0,16.0,16.0,16.0,11,10.0
2014,S,Morningside High,Inglewood Unified,Los Angeles,299,54,14.0,16.0,16.0,16.0,5,9.26
2014,S,City Honors College Preparatory Charter,Inglewood Unified,Los Angeles,155,75,18.0,19.0,19.0,18.0,19,25.33
2014,S,Animo Inglewood Charter High,Inglewood Unified,Los Angeles,132,59,17.0,16.0,18.0,16.0,11,18.64
2014,D,,La Canada Unified,Los Angeles,375,144,27.0,26.0,27.0,26.0,124,86.11
2014,S,La Canada High,La Canada Unified,Los Angeles,373,144,27.0,26.0,27.0,26.0,124,86.11
2014,D,,Las Virgenes Unified,Los Angeles,991,358,27.0,26.0,26.0,25.0,320,89.39
2014,S,Agoura High,Las Virgenes Unified,Los Angeles,525,185,27.0,26.0,26.0,25.0,164,88.65
