cds,rtype,sname,dname,cname,Enroll12,NumTstTakr,AvgScrEng,AvgScrRead,AvgScrMath,AvgScrSci,NumGE21,PctGE21,year
11626460000000,D,                                                  ,Princeton Joint Unified                           ,Glenn          ,21,9,*,*,*,*,*,*,1314
11626461136209,S,Princeton Junior-Senior High                      ,Princeton Joint Unified                           ,Glenn          ,21,9,*,*,*,*,*,*,1314
11626530000000,D,                                                  ,Stony Creek Joint Unified                         ,Glenn          ,8,0,NA,NA,NA,NA,NA,NA,1314
11626531132109,S,Elk Creek Junior-Senior High                      ,Stony Creek Joint Unified                         ,Glenn          ,8,0,NA,NA,NA,NA,NA,NA,1314
11626610000000,D,                                                  ,Willows Unified                                   ,Glenn          ,127,10,*,*,*,*,*,*,1314
11626611132851,S,Willows High                                      ,Willows Unified                                   ,Glenn          ,114,10,*,*,*,*,*,*,1314
11754810000000,D,                                                  ,Orland Joint Unified                              ,Glenn          ,174,19,17,19,19,18,4,21.05,1314
11754811135656,S,Orland High                                       ,Orland Joint Unified                              ,Glenn          ,151,19,17,19,19,18,4,21.05,1314
11765620000000,D,                                                  ,Hamilton Unified                                  ,Glenn          ,58,18,19,20,19,20,5,27.78,1314
11765621133701,S,Hamilton High                                     ,Hamilton Unified                                  ,Glenn          ,51,18,19,20,19,20,5,27.78,1314
12000000000000,C,                                                  ,                                                  ,Humboldt       ,1296,114,23,24,23,23,79,69.3,1314
12101240000000,D,                                                  ,Humboldt County Office of Educ                    ,Humboldt       ,37,12,25,25,22,21,10,83.33,1314
12101240115097,S,Northcoast Preparatory and Performing Ar          ,Humboldt County Office of Educ                    ,Humboldt       ,32,12,25,25,22,21,10,83.33,1314
12626870000000,D,                                                  ,Northern Humboldt Union High                      ,Humboldt       ,375,47,25,27,25,25,40,85.11,1314
12626870107110,S,Six Rivers Charter High                           ,Northern Humboldt Union High                      ,Humboldt       ,22,1,*,*,*,*,*,*,1314
12626870124263,S,Laurel Tree Charter                               ,Northern Humboldt Union High                      ,Humboldt       ,3,0,NA,NA,NA,NA,NA,NA,1314
12626871230705,S,Arcata High                                       ,Northern Humboldt Union High                      ,Humboldt       ,166,38,25,27,25,25,32,84.21,1314
12626871235209,S,McKinleyville High                                ,Northern Humboldt Union High                      ,Humboldt       ,146,8,*,*,*,*,*,*,1314
12628100000000,D,                                                  ,Fortuna Union High                                ,Humboldt       ,264,11,22,25,22,23,7,63.64,1314
12628100108688,S,Academy of the Redwoods                           ,Fortuna Union High                                ,Humboldt       ,34,5,*,*,*,*,*,*,1314
12628101233402,S,Fortuna Union High                                ,Fortuna Union High                                ,Humboldt       ,179,6,*,*,*,*,*,*,1314
12629010000000,D,                                                  ,Klamath-Trinity Joint Unified                     ,Humboldt       ,68,1,*,*,*,*,*,*,1314
12629011234004,S,Hoopa Valley High                                 ,Klamath-Trinity Joint Unified                     ,Humboldt       ,49,1,*,*,*,*,*,*,1314
12629270000000,D,                                                  ,Loleta Union Elementary                           ,Humboldt       ,37,0,NA,NA,NA,NA,NA,NA,1314
12629271230150,S,Pacific View Charter                              ,Loleta Union Elementary                           ,Humboldt       ,37,0,NA,NA,NA,NA,NA,NA,1314
12630320000000,D,                                                  ,South Bay Union Elementary                        ,Humboldt       ,41,0,NA,NA,NA,NA,NA,NA,1314
12630320111203,S,Alder Grove Charter                               ,South Bay Union Elementary                        ,Humboldt       ,41,0,NA,NA,NA,NA,NA,NA,1314
12630400000000,D,                                                  ,Southern Humboldt Joint Unifie                    ,Humboldt       ,56,3,*,*,*,*,*,*,1314
12630401237007,S,South Fork Junior - Senior High                   ,Southern Humboldt Joint Unifie                    ,Humboldt       ,48,3,*,*,*,*,*,*,1314
12753740000000,D,                                                  ,Ferndale Unified                                  ,Humboldt       ,36,3,*,*,*,*,*,*,1314
12753741232909,S,Ferndale High                                     ,Ferndale Unified                                  ,Humboldt       ,36,3,*,*,*,*,*,*,1314
12753820000000,D,                                                  ,Mattole Unified                                   ,Humboldt       ,67,0,NA,NA,NA,NA,NA,NA,1314
12753821230135,S,Mattole Valley Charter (#159),Mattole Unified                                   ,Humboldt       ,67,0,NA,NA,NA,NA,NA,NA,1314
12755150000000,D,                                                  ,Eureka City Schools                               ,Humboldt       ,315,37,21,20,22,21,18,48.65,1314
12755151232206,S,Eureka Senior High                                ,Eureka City Schools                               ,Humboldt       ,253,37,21,20,22,21,18,48.65,1314
13000000000000,C,                                                  ,                                                  ,Imperial       ,2543,505,19,20,21,20,206,40.79,1314
16000000000000,C,                                                  ,                                                  ,Kings          ,2171,271,18,20,20,19,109,40.22,1314
16101650000000,D,                                                  ,Kings County Office of Educati                    ,Kings          ,108,0,NA,NA,NA,NA,NA,NA,1314
16638750000000,D,                                                  ,Armona Union Elementary                           ,Kings          ,240,1,*,*,*,*,*,*,1314
16638750101717,S,Crossroads Charter                                ,Armona Union Elementary                           ,Kings          ,65,0,NA,NA,NA,NA,NA,NA,1314
16638750112698,S,California Virtual Academy @ Kings                ,Armona Union Elementary                           ,Kings          ,58,1,*,*,*,*,*,*,1314
16638750121491,S,"National University Academy, Armona               ",Armona Union Elementary                           ,Kings          ,117,0,NA,NA,NA,NA,NA,NA,1314
16638910000000,D,                                                  ,Corcoran Joint Unified                            ,Kings          ,247,39,19,21,20,19,16,41.03,1314
16638910120154,S,California Pacific Charter School of Cen          ,Corcoran Joint Unified                            ,Kings          ,14,0,NA,NA,NA,NA,NA,NA,1314
16638911632207,S,Corcoran High                                     ,Corcoran Joint Unified                            ,Kings          ,197,39,19,21,20,19,16,41.03,1314
16639250000000,D,                                                  ,Hanford Joint Union High                          ,Kings          ,921,75,19,20,21,20,32,42.67,1314
16639250118919,S,Sierra Pacific High                               ,Hanford Joint Union High                          ,Kings          ,183,17,21,22,22,21,9,52.94,1314
16639251630169,S,Hanford West High                                 ,Hanford Joint Union High                          ,Kings          ,280,25,19,20,21,20,11,44,1314
16639251634401,S,Hanford High                                      ,Hanford Joint Union High                          ,Kings          ,343,33,18,19,20,18,12,36.36,1314
16639820000000,D,                                                  ,Lemoore Union High                                ,Kings          ,511,114,20,21,20,20,55,48.25,1314
16639820110205,S,Lemoore Middle College High                       ,Lemoore Union High                                ,Kings          ,37,5,*,*,*,*,*,*,1314
16639821635606,S,Lemoore High                                      ,Lemoore Union High                                ,Kings          ,421,109,20,21,20,20,53,48.62,1314
16739320000000,D,                                                  ,Reef-Sunset Unified                               ,Kings          ,144,42,15,16,18,16,6,14.29,1314
16739321630953,S,Avenal High                                       ,Reef-Sunset Unified                               ,Kings          ,133,42,15,16,18,16,6,14.29,1314
17000000000000,C,                                                  ,                                                  ,Lake           ,618,54,21,23,21,20,33,61.11,1314
17101730000000,D,                                                  ,Lake County Office of Educatio                    ,Lake           ,6,0,NA,NA,NA,NA,NA,NA,1314
17640140000000,D,                                                  ,Kelseyville Unified                               ,Lake           ,129,17,21,23,20,21,12,70.59,1314
17640141734359,S,Kelseyville High                                  ,Kelseyville Unified                               ,Lake           ,124,17,21,23,20,21,12,70.59,1314
17640220000000,D,                                                  ,Konocti Unified                                   ,Lake           ,175,7,*,*,*,*,*,*,1314
17640220107706,S,Blue Heron                                        ,Konocti Unified                                   ,Lake           ,0,0,NA,NA,NA,NA,NA,NA,1314
17640221730118,S,Richard H. Lewis Alternative                      ,Konocti Unified                                   ,Lake           ,21,0,NA,NA,NA,NA,NA,NA,1314
